Hours since 00:00 Jan 1,Hourly Data: AC inverter power (W)
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,5.0
8,97.1
9,213.8
10,289.9
11,274.6
12,264.4
13,230.3
14,145.4
15,71.9
16,9.8
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,5.5
32,90.2
33,213.8
34,273.8
35,334.4
36,395.8
37,284.5
38,161.3
39,73.6
40,10.4
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,7.0
56,77.8
57,135.6
58,221.9
59,239.3
60,256.4
61,221.1
62,171.8
63,87.9
64,10.8
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,5.5
80,89.9
81,215.8
82,281.0
83,299.3
84,221.3
85,174.4
86,130.0
87,68.6
88,9.3
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,9.3
104,118.8
105,272.9
106,393.9
107,460.1
108,464.4
109,409.4
110,302.9
111,157.6
112,21.2
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,10.8
128,125.8
129,279.8
130,394.4
131,458.1
132,462.6
133,408.4
134,302.0
135,157.3
136,21.5
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,7.4
152,99.3
153,264.0
154,394.9
155,457.5
156,461.6
157,408.1
158,300.4
159,155.1
160,22.0
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,8.9
176,86.0
177,156.5
178,196.1
179,210.9
180,182.2
181,156.9
182,98.5
183,41.2
184,5.2
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,3.7
200,42.0
201,88.5
202,152.8
203,191.0
204,167.9
205,151.0
206,118.9
207,58.0
208,4.3
209,0.0
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,0.0
223,1.7
224,20.2
225,59.7
226,70.3
227,96.8
228,147.8
229,299.0
230,211.2
231,114.8
232,16.2
233,0.0
234,0.0
235,0.0
236,0.0
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,0.0
243,0.0
244,0.0
245,0.0
246,0.0
247,7.4
248,77.8
249,146.6
250,214.3
251,243.3
252,243.6
253,223.9
254,168.8
255,79.7
256,12.9
257,0.0
258,0.0
259,0.0
260,0.0
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
268,0.0
269,0.0
270,0.0
271,4.2
272,67.6
273,154.8
274,218.4
275,153.4
276,118.3
277,105.8
278,91.4
279,50.7
280,12.7
281,0.0
282,0.0
283,0.0
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,0.0
295,6.4
296,70.1
297,167.7
298,244.9
299,256.5
300,236.9
301,240.6
302,163.3
303,91.9
304,13.9
305,0.0
306,0.0
307,0.0
308,0.0
309,0.0
310,0.0
311,0.0
312,0.0
313,0.0
314,0.0
315,0.0
316,0.0
317,0.0
318,0.0
319,6.3
320,79.2
321,210.4
322,327.3
323,358.0
324,306.3
325,214.1
326,142.0
327,56.8
328,10.8
329,0.0
330,0.0
331,0.0
332,0.0
333,0.0
334,0.0
335,0.0
336,0.0
337,0.0
338,0.0
339,0.0
340,0.0
341,0.0
342,0.0
343,6.7
344,56.7
345,137.4
346,272.8
347,235.0
348,194.0
349,166.1
350,111.5
351,51.9
352,7.1
353,0.0
354,0.0
355,0.0
356,0.0
357,0.0
358,0.0
359,0.0
360,0.0
361,0.0
362,0.0
363,0.0
364,0.0
365,0.0
366,0.0
367,5.7
368,78.3
369,222.1
370,335.1
371,357.0
372,278.1
373,243.6
374,199.9
375,89.1
376,14.1
377,0.0
378,0.0
379,0.0
380,0.0
381,0.0
382,0.0
383,0.0
384,0.0
385,0.0
386,0.0
387,0.0
388,0.0
389,0.0
390,0.0
391,6.4
392,44.9
393,90.5
394,128.1
395,134.2
396,121.6
397,114.3
398,85.0
399,44.6
400,7.9
401,0.0
402,0.0
403,0.0
404,0.0
405,0.0
406,0.0
407,0.0
408,0.0
409,0.0
410,0.0
411,0.0
412,0.0
413,0.0
414,0.0
415,8.0
416,69.5
417,169.3
418,190.6
419,219.6
420,253.1
421,288.0
422,219.4
423,109.0
424,15.2
425,0.0
426,0.0
427,0.0
428,0.0
429,0.0
430,0.0
431,0.0
432,0.0
433,0.0
434,0.0
435,0.0
436,0.0
437,0.0
438,0.0
439,6.7
440,48.4
441,128.5
442,205.1
443,264.5
444,290.1
445,284.3
446,248.3
447,120.5
448,17.9
449,0.0
450,0.0
451,0.0
452,0.0
453,0.0
454,0.0
455,0.0
456,0.0
457,0.0
458,0.0
459,0.0
460,0.0
461,0.0
462,0.0
463,12.8
464,98.7
465,211.4
466,265.9
467,310.9
468,277.5
469,145.1
470,87.3
471,50.9
472,13.4
473,0.0
474,0.0
475,0.0
476,0.0
477,0.0
478,0.0
479,0.0
480,0.0
481,0.0
482,0.0
483,0.0
484,0.0
485,0.0
486,0.0
487,11.4
488,86.7
489,168.8
490,174.6
491,226.4
492,231.3
493,236.1
494,176.6
495,98.1
496,21.9
497,0.0
498,0.0
499,0.0
500,0.0
501,0.0
502,0.0
503,0.0
504,0.0
505,0.0
506,0.0
507,0.0
508,0.0
509,0.0
510,0.0
511,24.9
512,156.9
513,261.8
514,248.6
515,266.1
516,220.5
517,203.4
518,115.8
519,57.0
520,12.0
521,0.0
522,0.0
523,0.0
524,0.0
525,0.0
526,0.0
527,0.0
528,0.0
529,0.0
530,0.0
531,0.0
532,0.0
533,0.0
534,0.0
535,4.5
536,29.5
537,60.1
538,89.0
539,120.5
540,139.4
541,131.9
542,105.0
543,59.9
544,13.6
545,0.0
546,0.0
547,0.0
548,0.0
549,0.0
550,0.0
551,0.0
552,0.0
553,0.0
554,0.0
555,0.0
556,0.0
557,0.0
558,0.0
559,16.5
560,106.2
561,285.8
562,424.6
563,511.9
564,498.5
565,323.9
566,212.2
567,158.9
