Month,Hour,Day Type,Daylight Savings Status,Indoor Temperature [C],Average Unmet Cooling Setpoint Difference [C],Indoor Relative Humidity [%],Equipment Electric Power [kWh],DHW Heating [kWh],Cooling Load [kWh]
1,0,8,0,18.93,0.0,77.92,256.225,10866.143075,53.5195991425
1,1,8,0,18.82,0.0,77.97,252.825,10388.17225,54.72675790499999
1,2,8,0,18.76,0.0,77.89,249.65,11090.28925,55.0001929925
1,3,8,0,18.66,0.0,77.74,247.5,10252.33785,53.429304018749995
1,4,8,0,18.62,0.0,77.37,252.625,10951.816175,53.627126831249996
1,5,8,0,18.61,0.0,77.08,247.975,10873.291325,54.757706184999996
1,6,8,0,18.65,0.0,76.69,248.2,10419.015625,52.6614877425
1,7,8,0,18.67,0.0,76.62,245.82500000000002,10897.154125000001,55.09488417874999
1,8,8,0,18.71,0.0,76.49,245.25,10281.310325,52.644782705
1,9,8,0,18.77,0.0,76.26,249.29999999999998,11619.33035,56.41159281875
1,10,8,0,18.9,0.0,75.86,245.675,11730.63125,53.341206926249995
1,11,8,0,19.13,0.0,75.22,245.65,13435.3565,57.138789477500005
1,12,8,0,19.36,0.0,74.75,251.45,11201.9608,51.9669098675
1,13,8,0,19.46,0.0,74.81,244.77499999999998,11103.7915,57.020887081249995
1,14,8,0,19.45,0.0,75.3,247.575,10711.687925,51.79546343
1,15,8,0,19.43,0.0,75.74,240.925,11225.161725,58.9506705975
1,16,8,0,19.37,0.0,76.33,242.775,11633.16795,53.251087645
1,17,8,0,19.27,0.0,77.0,242.9,10829.219275,52.47272081875
1,18,8,0,19.13,0.0,77.7,244.97500000000002,11753.1703,53.30841229999999
1,19,8,0,19.05,0.0,77.95,242.725,10767.2766,55.0065233225
1,20,8,0,19.02,0.0,78.04,242.72500000000002,11835.410475,54.483831491249994
1,21,8,0,19.02,0.0,78.12,246.4,12357.3298,51.7319842875
1,22,8,0,19.02,0.0,78.26,248.52499999999998,12331.349,52.36255549249999
1,23,8,0,18.98,0.0,78.49,254.15,12109.7709,52.67344503249999
1,0,8,0,19.02,0.0,78.3,252.27499999999998,12491.266825,51.44298713875
1,1,8,0,19.08,0.0,78.05,259.2,12330.4665,54.060226908749996
1,2,8,0,19.09,0.0,78.08,252.125,12966.501900000001,51.417489976249996
1,3,8,0,19.09,0.0,78.19,251.45000000000002,13272.14695,53.796023552499996
1,4,8,0,19.1,0.0,78.24,254.97500000000002,12692.09735,50.07264653625
1,5,8,0,19.09,0.0,78.35,254.3,13601.487125,55.93532340749999
1,6,8,0,19.7,0.0,75.46,251.775,12800.3095,51.276024684999996
1,7,8,0,20.5,0.0,69.05,248.9,12691.9738,56.989235431249995
1,8,8,0,20.92,0.0,64.69,250.02499999999998,12437.76085,53.0223165525
1,9,8,0,21.05,0.0,61.6,252.15,13444.358,54.738011825
1,10,8,0,21.08,0.0,58.92,252.025,14733.56695,51.73963343625
1,11,8,0,21.16,0.0,55.84,247.575,15120.552024999999,53.65939392999999
1,12,8,0,21.24,0.0,51.7,246.75,12885.673725,54.5869631175
1,13,8,0,21.3,0.0,47.77,244.375,12311.007375000001,56.242696097499994
1,14,8,0,21.3,0.0,43.78,244.175,12126.45015,55.50864158125
1,15,8,0,21.32,0.0,40.45,244.525,12580.275775,52.535760354999994
1,16,8,0,21.37,0.0,37.45,248.825,12293.657425000001,55.494486259999995
1,17,8,0,21.24,0.0,35.31,246.15,12313.15185,54.753573886249995
1,18,8,0,21.02,0.0,33.12,246.1,12445.253275000001,55.01012809375
1,19,8,0,20.83,0.0,30.67,250.35,12119.769624999999,55.98798823625
1,20,8,0,20.8,0.0,28.63,266.55,12545.999475,54.453059053749996
1,21,8,0,20.79,0.0,26.97,257.85,12076.685975,54.68534699625
1,22,8,0,20.07,0.0,27.57,255.775,12158.458425,54.057589271249995
1,23,8,0,19.63,0.0,27.79,255.375,12190.740275,55.118974601249995
1,0,8,0,19.44,0.0,27.5,252.125,11507.9059,55.28206852
1,1,8,0,19.21,0.0,27.21,255.425,11525.149949999999,56.402800693749995
1,2,8,0,19.04,0.0,26.83,253.22500000000002,11801.4254,54.18173407625
1,3,8,0,18.88,0.0,26.63,252.975,11958.272125,56.01946404375
1,4,8,0,18.68,0.0,26.56,248.7,12096.93935,54.4958767025
1,5,8,0,18.69,0.0,26.05,250.325,11443.333375,54.89196193375
1,6,8,0,19.59,0.0,23.9,245.875,11288.895875,55.42564392125
1,7,8,0,20.26,0.0,21.9,247.2,10999.3035,52.43236496499999
1,8,8,0,20.85,0.0,21.1,246.075,11202.093175,51.81454234125
1,9,8,0,21.06,0.0,21.89,247.075,11411.2898,54.74750732
1,10,8,0,21.12,0.0,22.87,251.47500000000002,12757.0317,54.92220684375
1,11,8,0,21.23,0.0,23.29,249.85000000000002,13455.9364,56.8296583625
1,12,8,0,21.16,0.0,23.13,249.55,11508.620724999999,53.639084121249994
1,13,8,0,21.38,0.0,22.97,247.72500000000002,10350.410075,55.351350464999996
1,14,8,0,21.44,0.0,22.99,247.89999999999998,10422.969224999999,55.80722214625
1,15,8,0,21.48,0.0,22.3,245.225,10959.6616,53.557669043749996
1,16,8,0,21.52,0.0,22.21,244.5,10879.9895,56.0088255725
1,17,8,0,21.24,0.0,22.63,242.55,10744.1198,52.767784533749996
1,18,8,0,21.04,0.0,22.22,245.175,10746.017175,55.44692086375
1,19,8,0,20.86,0.0,21.67,245.3,10566.2431,54.564631119999994
1,20,8,0,20.8,0.0,20.95,245.225,10278.415724999999,54.9695963975
1,21,8,0,20.78,0.0,20.77,251.8,10533.864174999999,56.100439515
1,22,8,0,20.38,0.0,21.38,255.875,10719.506875000001,52.6340563125
1,23,8,0,20.1,0.0,21.98,255.05,11353.336025,56.7596730475
1,0,8,0,19.85,0.0,22.44,258.875,12462.444375000001,53.968261281249994
1,1,8,0,19.65,0.0,22.69,265.8,12579.843350000001,55.29868563624999
1,2,8,0,19.43,0.0,22.99,258.5,13430.599825,54.861892866249995
1,3,8,0,19.25,0.0,23.2,252.6,13178.60195,55.67727453875
1,4,8,0,19.18,0.0,23.3,250.85,13322.052325,55.989922503749995
1,5,8,0,19.18,0.0,23.41,252.95,14121.967975000001,54.46026859625
1,6,8,0,19.75,0.0,23.31,249.725,14053.097674999999,52.594140065
1,7,8,0,20.55,0.0,23.76,256.2,14707.030175,54.6896551375
1,8,8,0,20.68,0.0,26.8,257.25,16108.3784,52.837242321249995
1,9,8,0,20.77,0.0,30.18,257.425,17608.707824999998,55.27125420625
1,10,8,0,20.83,0.0,32.72,265.775,19534.887625,53.325205258749996
1,11,8,0,20.91,0.0,34.45,262.67499999999995,19981.838574999998,55.63436896875
1,12,8,0,20.91,0.0,35.64,271.625,18463.85915,52.65005798
1,13,8,0,20.93,0.0,37.25,268.075,18526.543125,53.83690693375
1,14,8,0,20.94,0.0,38.97,268.6,18342.965474999997,51.918904864999995
1,15,8,0,20.94,0.0,39.71,273.2,20868.362775,53.464032912499995
1,16,8,0,20.93,0.0,40.58,286.025,20178.159525,52.02344323124999
1,17,8,0,19.92,0.0,45.33,284.55,19590.379225,54.86822319625
1,18,8,0,20.13,0.0,46.25,289.65,20067.467549999998,53.13881220875
1,19,8,0,20.19,0.0,46.47,296.0,20377.401550000002,54.8813234625
1,20,8,0,20.11,0.0,46.91,290.3,20707.88015,53.710915782499995
1,21,8,0,20.05,0.0,47.34,286.0,20649.961675,56.0278165625
1,22,8,0,20.03,0.0,47.68,288.125,21128.664975,55.701101197499995
1,23,8,0,20.0,0.0,47.9,277.325,20777.0152,51.487299448749994
1,0,8,0,19.97,0.0,48.05,271.55,19743.76655,55.495541315
1,1,8,0,19.93,0.0,48.22,270.7,19891.0558,53.40415854125
1,2,8,0,19.92,0.0,48.53,264.575,18861.9902,51.66964812124999
1,3,8,0,19.93,0.0,48.69,267.275,18948.642875,56.031509254999996
1,4,8,0,19.94,0.0,48.69,262.125,18648.86645,52.643815571249995
1,5,8,0,19.92,0.0,48.74,267.2,19002.29005,56.45124530249999
1,6,8,0,19.93,0.0,48.89,263.6,18880.911,54.50739438625
1,7,8,0,19.92,0.0,49.48,265.2,18953.426025,55.2484826025
1,8,8,0,19.98,0.0,49.89,261.825,19475.415950000002,54.792435078749996
1,9,8,0,20.13,0.0,50.01,264.7,20024.357425000002,55.01979943124999
1,10,8,0,20.29,0.0,50.12,264.65,20833.90115,56.83968138499999
1,11,8,0,20.49,0.0,50.32,264.79999999999995,20698.728625,55.307038155
1,12,8,0,20.74,0.0,50.39,270.8,19272.5998,56.47867673249999
1,13,8,0,20.96,0.0,50.62,268.5,19771.318199999998,54.57333532375
1,14,8,0,21.13,0.0,51.3,283.175,19654.03395,54.003957308749996
1,15,8,0,21.19,0.0,52.68,307.15,18998.574725000002,54.00958426875
1,16,8,0,21.03,0.0,55.02,289.5,19280.38345,56.97921240875
1,17,8,0,20.83,0.0,57.33,293.875,17416.146324999998,53.684979013749995
1,18,8,0,20.51,0.0,58.94,292.0,16898.824825,52.410032967499994
1,19,8,0,20.31,0.0,58.94,290.5,16049.23325,57.382155497499994
1,20,8,0,20.07,0.0,57.63,295.575,15308.1274,54.298405575
1,21,8,0,19.82,0.0,55.22,287.7,15775.225825000001,57.07073842999999
1,22,8,0,19.63,0.0,52.96,292.07500000000005,15896.887275000001,54.396174005
1,23,8,0,19.41,0.0,50.95,283.45,16238.441250000002,54.245476982499994
1,0,8,0,19.25,0.0,48.79,283.175,16197.987449999999,52.589040632499994
1,1,8,0,19.03,0.0,46.96,275.85,16010.82685,55.11686449124999
1,2,8,0,18.76,0.0,44.98,276.8,15692.835625000002,52.17660204875
1,3,8,0,18.53,0.0,43.01,263.65,15113.562625,55.04046092499999
