Outdoor Drybulb Temperature [C],Outdoor Relative Humidity [%]
0.1,85.93
0.3,80.78
0.3,78.65
0.3,76.6
0.3,76.8
0.1,77.69
0.1,75.58
-1.0,85.91
-1.0,86.0
-1.0,92.38
-1.0,92.38
-1.0,86.0
-1.0,80.08
-1.0,79.63
0.0,68.85
-0.4,62.74
-2.9,91.4
-2.9,91.48
-2.9,91.79
-2.9,91.84
-3.0,92.12
-3.9,79.21
-4.0,73.39
-3.9,64.64
-3.3,65.24
-3.2,68.39
-2.9,70.56
-2.7,69.47
-2.7,71.37
-2.7,72.15
-2.8,73.0
-3.0,73.87
-3.0,79.65
-3.0,79.78
-3.0,85.68
-2.0,85.7
-2.0,79.56
-2.0,73.82
-2.0,73.81
-2.0,73.85
-2.0,79.56
-2.0,79.6
-2.0,79.56
-1.0,74.07
-1.0,74.13
-2.0,68.64
-2.0,74.02
-2.0,71.62
-2.7,76.05
-2.0,74.08
-1.1,71.64
-0.6,68.05
-0.4,67.09
-0.7,69.86
0.1,68.66
0.0,74.24
1.0,69.22
1.0,74.48
-1.0,92.39
-1.0,92.39
1.0,80.26
1.0,74.74
1.0,74.74
1.0,74.65
1.0,74.83
1.0,69.3
0.0,86.12
-1.9,85.86
-3.0,85.68
-4.0,79.47
-4.0,73.6
-4.6,71.88
-5.2,71.86
-6.0,72.56
-6.3,67.88
-7.5,70.18
-8.5,75.93
-9.9,74.08
-10.5,76.16
-12.0,84.85
-12.0,84.72
-12.0,78.24
-12.0,78.04
-12.9,77.82
-12.9,77.79
-12.0,71.84
-13.0,71.63
-13.0,71.73
-14.0,71.46
-14.0,71.5
-14.0,77.76
-14.0,77.85
-14.0,77.86
-13.0,72.04
-14.0,77.96
-13.4,74.8
-13.4,72.09
-13.4,73.0
-13.4,74.18
-13.4,74.44
-13.2,74.37
-13.4,76.49
-13.3,76.72
-14.0,84.64
-15.0,84.68
-12.0,78.41
-9.1,67.36
-8.1,62.3
-9.0,72.54
-5.0,53.6
-5.0,53.4
-3.0,49.93
-4.0,49.62
-6.0,53.27
-10.9,78.2
-11.9,84.5
-12.9,84.42
-12.9,91.54
-12.9,91.53
-9.4,67.23
-9.8,66.75
-9.4,62.88
-9.8,63.86
-10.4,67.99
-10.4,66.81
-10.2,63.85
-11.0,68.1
-13.0,77.83
-12.0,72.12
-8.1,67.35
-4.1,46.05
-2.1,39.7
0.9,31.88
