Month,Hour,Day Type,Day Light Savings Status,Indoor Temperature [C],Average Unmet Cooling Setpoint Difference [C],Indoor Relative Humidity [%],Equipment Electric Power [kWh],DHW Heating [kWh],Cooling Load [kWh]
1,0,8,0,22.75,0.0,49.66,460.125,15310.448375,34.10934786975
1,1,8,0,22.55,0.0,47.61,449.7,15387.763317500001,37.371516384875
1,2,8,0,22.45,0.0,45.93,447.8,16270.258904999999,34.04105064275
1,3,8,0,22.38,0.0,44.92,438.15,15506.812567499997,36.405683869375
1,4,8,0,22.41,0.0,44.17,441.35,16144.8530075,30.986842260249997
1,5,8,0,22.32,0.0,44.4,432.1,16170.395204999999,35.772123341874995
1,6,8,0,22.35,0.0,44.64,429.475,16184.887619999998,31.725855535
1,7,8,0,22.34,0.0,45.12,436.35,14868.421774999999,32.890724176249996
1,8,8,0,22.26,0.0,45.32,432.9,15797.270675,36.854724069499994
1,9,8,0,22.27,0.0,44.99,437.75,15421.844584999999,32.17697946875
1,10,8,0,22.42,0.0,44.61,437.675,15638.710135000001,33.740949040125
1,11,8,0,22.54,0.0,45.22,434.375,15265.669442499999,35.314000876624995
1,12,8,0,22.65,0.0,46.62,445.475,15799.2571825,34.605601781124996
1,13,8,0,22.64,0.0,47.72,449.075,15126.184139999998,36.123368735625
1,14,8,0,22.42,0.0,49.24,462.825,16156.759697499998,36.297690198
1,15,8,0,22.51,0.0,49.77,460.55,15867.6015125,34.058186494375
1,16,8,0,22.59,0.0,49.82,467.575,15381.566402499999,33.04511389125
1,17,8,0,22.48,0.0,50.06,461.5,15719.645092499999,34.283300062875
1,18,8,0,22.59,0.0,49.73,470.3,15768.984784999999,37.220406132499996
1,19,8,0,22.81,0.0,48.8,463.25,15378.923315,35.848395026249996
1,20,8,0,22.9,0.0,48.25,465.2,15641.665627499999,34.233809191249996
1,21,8,0,22.78,0.0,49.44,477.15,16561.2800475,33.894951901625
1,22,8,0,22.94,0.0,49.17,461.325,16738.403092499997,36.28160060925
1,23,8,0,22.87,0.0,49.47,462.75,17037.637662499998,33.34297350199999
1,0,8,0,22.73,0.0,51.02,449.225,17489.418535,34.35721545775
1,1,8,0,22.61,0.0,53.13,443.225,17687.1506025,32.3264280095
1,2,8,0,22.72,0.0,53.46,435.65,17534.6422475,34.9720135905
1,3,8,0,22.58,0.0,54.31,441.9,18258.839397499996,29.098232265375
1,4,8,0,22.54,0.0,55.07,433.25,18538.5336525,35.053499005
1,5,8,0,22.56,0.0,55.24,431.175,18534.542987499997,36.240022650125
1,6,8,0,22.64,0.0,55.02,422.575,18503.62107,29.92074435125
1,7,8,0,22.51,0.0,55.89,427.125,17947.434269999998,35.340684976
1,8,8,0,22.5,0.0,55.92,428.2,17399.726529999996,31.061434648749998
1,9,8,0,22.53,0.0,54.69,434.5,17291.3158175,33.85891298125
1,10,8,0,22.57,0.0,52.64,436.9,18113.39722,33.245284201124996
1,11,8,0,22.72,0.0,49.51,434.45,17575.53112,35.022418843124996
1,12,8,0,22.51,0.0,47.51,449.5,17843.3266275,33.00537348625
1,13,8,0,22.6,0.0,43.74,441.35,17498.045854999997,32.05346769675
1,14,8,0,22.64,0.0,40.29,454.4,17798.8909875,31.178888646625
1,15,8,0,22.55,0.0,38.1,467.25,17082.1915575,34.15580545825
1,16,8,0,22.48,0.0,35.54,464.975,16907.738074999997,33.331921800875
1,17,8,0,22.46,0.0,33.3,461.375,16317.869779999999,33.371108301999996
1,18,8,0,22.53,0.0,31.42,473.925,16694.6055,31.313197148124996
1,19,8,0,22.55,0.0,30.17,464.5,16604.433415,31.971164614625
1,20,8,0,22.48,0.0,29.08,476.4,16249.876684999997,31.314797314874998
1,21,8,0,22.38,0.0,28.06,464.35,16400.99775,33.39124226825
1,22,8,0,22.27,0.0,27.17,466.7,15935.698742499999,31.921031917875
1,23,8,0,22.09,0.0,25.94,454.875,16600.031505,31.1093868985
1,0,8,0,21.99,0.0,25.0,443.75,15973.787442499999,30.196702778625003
1,1,8,0,21.86,0.0,24.34,448.45,15914.8805675,35.066388260249994
1,2,8,0,21.79,0.0,23.59,438.725,16211.526764999999,32.689340553125
1,3,8,0,21.78,0.0,23.08,428.775,16457.894289999997,27.696820293125
1,4,8,0,21.65,0.0,22.89,438.95,16542.954935,34.223100383
1,5,8,0,21.63,0.0,22.46,423.4,16890.6466975,33.596089988625
1,6,8,0,21.67,0.0,21.86,431.1,16708.879055,30.034954055
1,7,8,0,21.6,0.0,21.26,427.525,16558.0853975,31.224449438375
1,8,8,0,21.61,0.0,20.03,421.1,16129.944052499999,32.286485385625
1,9,8,0,21.64,0.0,18.63,429.3,15727.82675,29.214938932624996
1,10,8,0,21.76,0.0,17.57,426.85,15196.04284,31.224220843124996
1,11,8,0,21.88,0.0,16.81,432.025,15932.7256,31.794618744624998
1,12,8,0,21.8,0.0,16.49,444.375,14943.34073,31.866371276749998
1,13,8,0,21.75,0.0,16.21,438.35,15186.832187499998,34.559355203624996
1,14,8,0,21.84,0.0,15.63,451.125,15754.894789999998,32.937682915875
1,15,8,0,21.92,0.0,15.04,464.05,15152.7129725,31.422325003624998
1,16,8,0,21.89,0.0,14.97,461.0,18040.7895325,33.27332228775
1,17,8,0,21.98,0.0,15.42,459.125,15475.401745000001,32.52701154925
1,18,8,0,22.01,0.0,16.52,461.4,17210.605014999997,31.795963939750003
1,19,8,0,22.04,0.0,17.5,470.5,17902.442655,31.066806637124998
1,20,8,0,21.98,0.0,18.51,471.75,17294.548415,31.145443403125
1,21,8,0,22.01,0.0,19.64,463.25,15941.284967499998,31.647693543749998
1,22,8,0,21.91,0.0,20.65,452.2,17822.7696725,32.97723868625
1,23,8,0,21.88,0.0,21.0,443.525,18910.96189,32.660818899625
1,0,8,0,21.74,0.0,21.29,458.55,19276.593995,32.30042090375
1,1,8,0,21.66,0.0,21.61,448.45,20520.356842499998,29.753650015625002
1,2,8,0,21.69,0.0,21.97,435.525,20181.019707499996,32.832001573374995
1,3,8,0,21.64,0.0,22.56,436.7,20876.779177499997,33.20680107
1,4,8,0,21.64,0.0,23.3,433.725,21337.18384,28.083515534874998
1,5,8,0,21.65,0.0,24.4,426.875,21382.61847,35.138193545125
1,6,8,0,21.67,0.0,25.52,429.675,21180.4174225,32.914102436625
1,7,8,0,21.74,0.0,26.67,432.8,22341.0231775,30.3849157985
1,8,8,0,21.85,0.0,27.77,432.325,22791.4670625,34.38168394162499
1,9,8,0,21.93,0.0,28.84,439.2,23329.463772499996,29.85149757475
1,10,8,0,22.08,0.0,29.38,439.225,23893.964604999997,30.277106761749998
1,11,8,0,22.22,0.0,30.09,466.55,23226.6984125,32.980245593
1,12,8,0,22.43,0.0,30.65,469.2,24319.619065,33.122229619624996
1,13,8,0,22.56,0.0,31.7,496.3,23867.922029999998,34.726511084125
1,14,8,0,22.6,0.0,33.42,532.725,25286.884954999998,33.339254433125
1,15,8,0,22.62,0.0,34.75,550.1,25286.7658175,33.437295419
1,16,8,0,22.38,0.0,36.49,562.625,25521.5319975,32.265032600625
1,17,8,0,22.54,0.0,37.89,570.125,24950.4380075,34.982854280625
1,18,8,0,22.67,0.0,39.38,574.175,25408.0354375,33.222635687125
1,19,8,0,22.67,0.0,41.19,563.8,25974.600437499997,33.756555062
1,20,8,0,22.68,0.0,42.65,564.3,26252.225229999996,34.512721772625
1,21,8,0,22.72,0.0,43.98,552.3,25304.908252499998,35.73366658712499
1,22,8,0,22.78,0.0,44.92,506.1,24574.283854999998,34.82404212675
1,23,8,0,22.73,0.0,45.68,490.6,26426.845505,34.356248324
1,0,8,0,22.67,0.0,46.21,470.7,25931.688874999996,34.2116002835
1,1,8,0,22.55,0.0,47.22,465.2,26648.91957,37.17357927475
1,2,8,0,22.56,0.0,48.6,456.275,26441.226724999997,32.46862304712499
1,3,8,0,22.58,0.0,49.58,452.0,26872.8971875,34.75575369187499
1,4,8,0,22.4,0.0,50.87,440.55,27668.0155675,34.4258467855
1,5,8,0,22.59,0.0,50.59,441.7,27436.1845825,34.112609748124996
1,6,8,0,22.6,0.0,50.89,445.2,27419.687127499998,34.445910414749996
1,7,8,0,22.62,0.0,51.04,440.525,27382.8904075,33.356223234374994
1,8,8,0,22.38,0.0,52.06,442.8,26710.139477499997,35.376407379875
1,9,8,0,22.33,0.0,52.51,439.85,27367.0159975,35.897077022375
1,10,8,0,22.69,0.0,50.85,457.875,26635.28671,37.831696207374996
1,11,8,0,22.75,0.0,50.35,463.575,26433.661934999996,37.428841039874996
1,12,8,0,22.86,0.0,49.87,468.85,26595.840725,37.6216787175
1,13,8,0,22.95,0.0,49.62,499.0,25944.30333,37.602362418875
1,14,8,0,22.97,0.0,50.44,530.775,25444.613297499996,36.8943941375
1,15,8,0,23.0,0.0,51.59,560.125,24605.6293725,37.498756017874996
1,16,8,0,23.03,0.0,52.59,570.55,24694.851004999997,36.954294885124995
1,17,8,0,23.0,0.0,53.73,578.0,23702.931595,40.232676078749996
1,18,8,0,22.95,0.0,53.89,575.2,23572.5987,38.20760351175
1,19,8,0,23.01,0.0,51.4,582.45,22468.0396375,38.047454954875
1,20,8,0,22.89,0.0,47.82,575.55,22674.857924999997,37.291877316625
1,21,8,0,22.72,0.0,44.38,550.6,22737.787235,39.036683315
1,22,8,0,22.46,0.0,41.16,516.55,22469.1621775,38.443654483749995
1,23,8,0,22.34,0.0,37.8,486.7,23169.926304999997,37.4888824615
1,0,8,0,22.16,0.0,34.81,473.675,23370.10378,37.45788142875
1,1,8,0,21.78,0.0,32.47,465.975,23531.322409999997,34.911057787874995
1,2,8,0,21.63,0.0,29.64,450.075,23467.3508675,38.810294888375
1,3,8,0,21.64,0.0,26.93,443.725,23659.7341025,34.065870811625004
1,4,8,0,21.59,0.0,24.87,441.5,22478.307524999997,39.1880837075
1,5,8,0,21.55,0.0,23.25,437.85,22992.268465,37.09714054
1,6,8,0,21.55,0.0,22.15,432.05,23080.897057500002,35.151328979875
1,7,8,0,21.57,0.0,21.19,438.175,23207.549045,38.24312369675
1,8,8,0,21.56,0.0,20.08,437.575,22794.168394999997,35.933933610375
