Month,Hour,Day Type,Day Light Savings Status,Indoor Temperature [C],Average Unmet Cooling Setpoint Difference [C],Indoor Relative Humidity [%],Equipment Electric Power [kWh],DHW Heating [kWh],Cooling Load [kWh]
1,0,8,0,22.8,0.0,53.12,380.975,12342.8294425,3183.9493750624997
1,1,8,0,22.54,0.0,51.02,380.55,12146.8350175,3298.1045676374997
1,2,8,0,22.64,0.0,48.25,373.45,11849.250722499999,3248.2479436124995
1,3,8,0,22.47,0.0,47.55,366.0,11839.392315,3587.652982625
1,4,8,0,22.51,0.0,46.37,367.55,11967.9822725,3567.2534941999997
1,5,8,0,22.62,0.0,45.61,364.4,11254.87197,3515.2911562374998
1,6,8,0,22.62,0.0,45.76,367.95,11751.8844975,2946.0678826374997
1,7,8,0,22.77,0.0,45.54,369.42499999999995,11399.41841,3340.625921775
1,8,8,0,22.66,0.0,45.76,365.35,11447.7908825,3802.9809159999995
1,9,8,0,22.64,0.0,45.63,366.625,11359.1137525,3296.6327659125
1,10,8,0,22.64,0.0,45.89,367.525,11798.679942499999,2856.9368362375
1,11,8,0,22.84,0.0,46.38,372.375,12506.568492499999,3208.9875886375
1,12,8,0,22.93,0.0,47.9,374.7,12588.761895,3348.8949153374997
1,13,8,0,23.03,0.0,48.64,373.125,12493.038884999998,3429.3595641249995
1,14,8,0,22.97,0.0,49.23,378.65,12749.2542275,3629.844632075
1,15,8,0,23.03,0.0,49.57,380.375,12715.022934999999,3682.2738318749994
1,16,8,0,22.91,0.0,50.73,378.67499999999995,12571.2080875,3625.1953563749994
1,17,8,0,22.94,0.0,51.23,381.75,12674.929194999999,3529.9775218375
1,18,8,0,23.27,0.0,50.09,379.75,12546.288934999999,3469.908844625
1,19,8,0,23.07,0.0,50.85,383.0,11884.84283,2743.2344381
1,20,8,0,22.99,0.0,51.65,388.275,13018.578225,3568.55121185
1,21,8,0,23.21,0.0,51.26,379.35,13671.458784999999,3867.1924425125
1,22,8,0,23.1,0.0,52.02,381.1,13611.385245,3463.9785563124997
1,23,8,0,22.97,0.0,52.85,383.5,13444.27328,3580.144507875
1,0,8,0,22.94,0.0,53.49,383.625,13768.346694999998,4063.658630125
1,1,8,0,22.86,0.0,54.85,375.95,13714.072945,3824.22269
1,2,8,0,22.79,0.0,55.95,375.70000000000005,13447.4070375,3741.55913075
1,3,8,0,22.82,0.0,56.1,375.15,13758.274722499998,3679.69773925
1,4,8,0,22.85,0.0,55.98,375.925,14023.509215,3633.3368641249995
1,5,8,0,22.82,0.0,56.15,371.725,13445.799122499999,3623.5749677374997
1,6,8,0,22.78,0.0,56.74,373.0,13802.779197499998,3646.7976075
1,7,8,0,22.85,0.0,56.97,372.35,13483.21624,3739.070959375
1,8,8,0,22.85,0.0,56.54,374.05,13322.9551225,3792.3688211249996
1,9,8,0,22.82,0.0,55.66,374.0,13292.3006025,3629.09026775
1,10,8,0,22.81,0.0,54.05,366.775,13563.8440875,3627.3582191249993
1,11,8,0,22.87,0.0,51.55,371.57500000000005,14023.142977499998,3768.858678875
1,12,8,0,22.81,0.0,48.66,374.925,14502.857622499998,3808.6254602499994
1,13,8,0,22.96,0.0,44.7,373.775,14263.182977499999,3875.4631945
1,14,8,0,22.93,0.0,41.36,379.3,13856.4863825,3821.980698125
1,15,8,0,22.84,0.0,39.23,376.2,13783.2229975,4115.198066875
