Month,Hour,Day Type,Day Light Savings Status,Indoor Temperature [C],Average Unmet Cooling Setpoint Difference [C],Indoor Relative Humidity [%],Equipment Electric Power [kWh],DHW Heating [kWh],Cooling Load [kWh]
1,0,8,0,20.42,0.0,59.0,35.75,1608.0281365,43.75444966875
1,1,8,0,20.16,0.0,59.61,35.625,1582.0989627499998,47.83012713375
1,2,8,0,20.0,0.0,59.95,36.375,1534.2945555,45.388554021249995
1,3,8,0,19.78,0.0,60.31,35.775,1538.1027195,46.975620505
1,4,8,0,19.66,0.0,60.29,35.575,1580.3349335,43.348341415
1,5,8,0,19.58,0.0,60.25,36.375,1519.534037,47.62034703125
1,6,8,0,19.5,0.0,60.28,35.55,1490.412243,43.75972494375
1,7,8,0,19.42,0.0,60.27,37.7,1681.6981775,46.234883973749994
1,8,8,0,19.89,0.0,58.06,36.05,1488.8405105,45.8208628075
1,9,8,0,20.83,0.0,53.49,37.1,1572.2627942499998,46.40852844249999
1,10,8,0,20.96,0.0,52.04,36.725,1576.3453275,46.71748371499999
1,11,8,0,20.99,0.0,53.37,36.025,1670.8594007499998,45.48684997875
1,12,8,0,20.97,0.0,58.15,37.025,1636.7513052499999,46.02440050124999
1,13,8,0,20.99,0.0,61.12,37.475,1621.2363375,45.959954225
1,14,8,0,21.01,0.0,59.96,37.775,1587.1714845,47.431843871249995
1,15,8,0,21.02,0.0,59.54,38.425,1592.15346175,43.649911302499994
1,16,8,0,21.0,0.0,59.07,34.375,1669.4583437499998,44.964158147499994
1,17,8,0,21.02,0.0,56.67,33.975,1548.4082015,44.63436553875
1,18,8,0,20.91,0.0,55.98,33.725,1632.9618502499998,44.41948600375
1,19,8,0,20.67,0.0,56.92,33.2,1505.941419,44.3740307175
1,20,8,0,20.73,0.0,56.98,35.7,1690.4982909999999,43.769660045
1,21,8,0,20.76,0.0,57.28,40.3,1690.6290775,46.7714673625
1,22,8,0,20.73,0.0,57.7,38.625,1680.90189775,44.56174258625
1,23,8,0,20.6,0.0,58.18,37.05,1672.28040225,42.5990765225
1,0,8,0,20.52,0.0,58.46,38.1,1678.8093137499998,45.04425440625
1,1,8,0,20.44,0.0,58.79,35.525,1637.4616295,40.7040219
1,2,8,0,20.32,0.0,59.26,37.5,1623.46879775,44.172515212499995
1,3,8,0,20.23,0.0,59.67,37.55,1694.0541482499998,44.163547245
1,4,8,0,20.17,0.0,59.97,38.7,1663.3863024999998,43.3407801875
1,5,8,0,20.1,0.0,60.26,36.3,1635.87533575,41.576552385
1,6,8,0,19.99,0.0,60.82,38.85,1649.6126837499999,43.1712680175
1,7,8,0,20.17,0.0,60.44,35.95,1633.2220995,44.2221027975
1,8,8,0,20.9,0.0,58.18,36.575,1628.3665845,44.848277939999996
1,9,8,0,21.0,0.0,58.2,38.775,1651.84470275,41.69718034
1,10,8,0,20.97,0.0,57.61,38.175,1638.363721,43.74759181125
1,11,8,0,21.03,0.0,55.5,36.95,1669.91124275,41.352880725
1,12,8,0,21.01,0.0,51.16,37.425,1648.3087899999998,44.94745311
1,13,8,0,21.02,0.0,46.36,37.325,1589.39582575,41.43702136125
1,14,8,0,21.02,0.0,42.23,37.425,1655.0720052499998,43.44215338875
1,15,8,0,21.01,0.0,38.63,36.1,1665.2508485,39.39056634625
1,16,8,0,21.0,0.0,34.72,37.825,1595.1295165,45.46240787125
1,17,8,0,21.02,0.0,31.22,35.9,1658.2809517499998,38.23088505875
1,18,8,0,21.01,0.0,29.74,36.025,1652.6399235,40.73734405375
1,19,8,0,21.0,0.0,28.79,35.4,1688.45821575,40.655753133750004
1,20,8,0,20.99,0.0,27.61,36.625,1679.1586954999998,41.88295794125
1,21,8,0,20.76,0.0,27.21,38.125,1669.7823094999999,41.02097800625
1,22,8,0,20.34,0.0,27.39,38.175,1635.35589625,38.6679415925
1,23,8,0,19.92,0.0,27.22,39.975,1655.99668875,40.79695466125
1,0,8,0,19.4,0.0,27.35,36.875,1677.88692475,39.796586678749996
1,1,8,0,19.05,0.0,27.37,40.025,1644.2047237499999,42.029434743749995
1,2,8,0,18.75,0.0,27.12,38.75,1674.896397,41.53267968125
1,3,8,0,18.49,0.0,26.89,37.725,1641.23864125,39.85057032624999
1,4,8,0,18.18,0.0,26.77,37.575,1686.10070525,41.0618613875
1,5,8,0,17.94,0.0,26.5,38.2,1665.1569504999998,39.88538714125
1,6,8,0,17.78,0.0,26.14,38.975,1680.67156525,43.09310602625
1,7,8,0,18.3,0.0,24.88,36.8,1697.8765205,40.64379584375
1,8,8,0,20.95,0.0,20.28,38.45,1615.72133025,42.30489202
1,9,8,0,20.99,0.0,18.43,36.85,1661.00152275,39.54214258125
