Month,Hour,Day Type,Day Light Savings Status,Indoor Temperature [C],Average Unmet Cooling Setpoint Difference [C],Indoor Relative Humidity [%],Equipment Electric Power [kWh],DHW Heating [kWh],Cooling Load [kWh]
1,0,8,0,23.17,0.0,52.64,699.5,11249.303394999999,278.56186350875
1,1,8,0,22.84,0.0,50.65,656.525,12729.074982499998,267.8881358375
1,2,8,0,22.75,0.0,48.49,625.825,12316.17706,243.96318112999998
1,3,8,0,22.71,0.0,46.96,614.85,12488.1171825,220.17872458
1,4,8,0,22.66,0.0,46.09,583.75,12630.606515,212.30256316249998
1,5,8,0,22.73,0.0,45.53,584.875,12743.4526725,204.10293946624998
1,6,8,0,22.67,0.0,45.77,574.725,11875.79544,192.77006618374998
1,7,8,0,22.72,0.0,45.91,586.575,10990.0963775,196.001435885
1,8,8,0,22.74,0.0,45.6,576.675,11718.203002499999,200.72482919875
1,9,8,0,22.74,0.0,45.11,586.5,11629.0122575,207.39541443624998
1,10,8,0,22.79,0.0,45.06,622.6,11946.431622499998,217.07545614
1,11,8,0,22.91,0.0,45.81,657.975,11815.413025,244.58979587874995
1,12,8,0,23.17,0.0,46.91,703.35,12024.194875,273.19101810999996
1,13,8,0,23.18,0.0,48.07,720.625,11461.8949975,293.69609995625
1,14,8,0,23.11,0.0,48.88,730.65,12301.44284,304.333779915
1,15,8,0,23.11,0.0,49.56,730.2,11838.086215,302.9775067125
1,16,8,0,23.08,0.0,50.21,730.175,11158.378537499999,302.39555595875
1,17,8,0,23.08,0.0,50.15,738.375,12758.3016175,294.41318567124995
1,18,8,0,23.1,0.0,50.16,747.25,11814.759092499999,292.6200317775
1,19,8,0,23.37,0.0,49.48,766.2,12356.187844999999,299.35348070875
1,20,8,0,23.37,0.0,49.91,743.25,14163.44724,298.29649144125
1,21,8,0,23.54,0.0,50.16,752.9,13780.946147499999,294.8606169125
1,22,8,0,23.43,0.0,51.38,743.275,13658.1056775,293.27794649124996
1,23,8,0,23.3,0.0,52.47,729.75,13810.180725,293.83501553124995
1,0,8,0,23.38,0.0,52.78,702.0,13404.636674999998,283.32112869249994
1,1,8,0,23.42,0.0,53.48,668.625,15078.9342075,262.5115755575
1,2,8,0,23.31,0.0,54.48,628.8,14304.9870025,235.32720426999995
1,3,8,0,23.28,0.0,54.98,621.0,14430.4608525,220.9807422225
1,4,8,0,23.2,0.0,55.59,584.25,14949.233182499998,209.64690180624999
