name,slottime_GMT,slottype,slotavg,pointTitle
BardHall.CW.FP/TONS,2016-06-02 00:00:00,D,111.222226041,Chilled Water
BardHall.Elec.PowerScout3/kWsystem,2016-06-02 00:00:00,D,105.673958333,Electric
BardHall.CW.FP/TONS,2016-06-03 00:00:00,D,131.274690625,Chilled Water
BardHall.Elec.PowerScout3/kWsystem,2016-06-03 00:00:00,D,105.644791666,Electric
BardHall.STM.M22-V/AverageMassFlow,2016-06-03 00:00:00,D,460.493265263,Steam
BardHall.CW.FP/TONS,2016-06-04 00:00:00,D,77.824395833,Chilled Water
BardHall.Elec.PowerScout3/kWsystem,2016-06-04 00:00:00,D,95.375000000,Electric
BardHall.STM.M22-V/AverageMassFlow,2016-06-04 00:00:00,D,370.450514583,Steam
BardHall.CW.FP/TONS,2016-06-05 00:00:00,D,144.811771875,Chilled Water
BardHall.Elec.PowerScout3/kWsystem,2016-06-05 00:00:00,D,96.725000000,Electric
BardHall.STM.M22-V/AverageMassFlow,2016-06-05 00:00:00,D,370.932539583,Steam
BardHall.CW.FP/TONS,2016-06-06 00:00:00,D,79.915230208,Chilled Water
BardHall.Elec.PowerScout3/kWsystem,2016-06-06 00:00:00,D,107.385416666,Electric
BardHall.STM.M22-V/AverageMassFlow,2016-06-06 00:00:00,D,423.020565625,Steam
BardHall.CW.FP/TONS,2016-06-07 00:00:00,D,60.059787500,Chilled Water
BardHall.Elec.PowerScout3/kWsystem,2016-06-07 00:00:00,D,107.372916666,Electric
BardHall.STM.M22-V/AverageMassFlow,2016-06-07 00:00:00,D,410.286268750,Steam
BardHall.CW.FP/TONS,2016-06-08 00:00:00,D,14.794800729,Chilled Water
BardHall.Elec.PowerScout3/kWsystem,2016-06-08 00:00:00,D,108.122916666,Electric
BardHall.STM.M22-V/AverageMassFlow,2016-06-08 00:00:00,D,486.824319791,Steam
BardHall.CW.FP/TONS,2016-06-09 00:00:00,D,27.480698437,Chilled Water
BardHall.Elec.PowerScout3/kWsystem,2016-06-09 00:00:00,D,112.831914893,Electric
BardHall.STM.M22-V/AverageMassFlow,2016-06-09 00:00:00,D,501.702667708,Steam
BardHall.CW.FP/TONS,2016-06-10 00:00:00,D,41.011165520,Chilled Water
BardHall.Elec.PowerScout3/kWsystem,2016-06-10 00:00:00,D,108.162500000,Electric
BardHall.STM.M22-V/AverageMassFlow,2016-06-10 00:00:00,D,477.021284375,Steam
BardHall.CW.FP/TONS,2016-06-11 00:00:00,D,78.011948958,Chilled Water
BardHall.Elec.PowerScout3/kWsystem,2016-06-11 00:00:00,D,92.800000000,Electric
BardHall.STM.M22-V/AverageMassFlow,2016-06-11 00:00:00,D,476.250186458,Steam
BardHall.CW.FP/TONS,2016-06-12 00:00:00,D,79.301203125,Chilled Water
BardHall.Elec.PowerScout3/kWsystem,2016-06-12 00:00:00,D,92.687500000,Electric
BardHall.STM.M22-V/AverageMassFlow,2016-06-12 00:00:00,D,416.307595833,Steam
BardHall.CW.FP/TONS,2016-06-13 00:00:00,D,18.533419157,Chilled Water
BardHall.Elec.PowerScout3/kWsystem,2016-06-13 00:00:00,D,100.454166666,Electric
BardHall.STM.M22-V/AverageMassFlow,2016-06-13 00:00:00,D,496.166756250,Steam
BardHall.CW.FP/TONS,2016-06-14 00:00:00,D,39.843765937,Chilled Water
BardHall.Elec.PowerScout3/kWsystem,2016-06-14 00:00:00,D,103.109375000,Electric
BardHall.STM.M22-V/AverageMassFlow,2016-06-14 00:00:00,D,477.638475000,Steam
BardHall.CW.FP/TONS,2016-06-15 00:00:00,D,63.182623750,Chilled Water
BardHall.Elec.PowerScout3/kWsystem,2016-06-15 00:00:00,D,104.610416666,Electric
BardHall.STM.M22-V/AverageMassFlow,2016-06-15 00:00:00,D,461.491976041,Steam
BardHall.CW.FP/TONS,2016-06-16 00:00:00,D,102.868806250,Chilled Water
BardHall.Elec.PowerScout3/kWsystem,2016-06-16 00:00:00,D,103.604166666,Electric
BardHall.STM.M22-V/AverageMassFlow,2016-06-16 00:00:00,D,375.021687500,Steam
BardHall.CW.FP/TONS,2016-06-17 00:00:00,D,82.009543750,Chilled Water
BardHall.Elec.PowerScout3/kWsystem,2016-06-17 00:00:00,D,107.509375000,Electric
BardHall.STM.M22-V/AverageMassFlow,2016-06-17 00:00:00,D,372.762266666,Steam
BardHall.CW.FP/TONS,2016-06-18 00:00:00,D,78.353174375,Chilled Water
BardHall.Elec.PowerScout3/kWsystem,2016-06-18 00:00:00,D,93.534375000,Electric
BardHall.STM.M22-V/AverageMassFlow,2016-06-18 00:00:00,D,358.207435416,Steam
BardHall.CW.FP/TONS,2016-06-19 00:00:00,D,84.968495425,Chilled Water
BardHall.Elec.PowerScout3/kWsystem,2016-06-19 00:00:00,D,94.484042553,Electric
BardHall.STM.M22-V/AverageMassFlow,2016-06-19 00:00:00,D,342.867552688,Steam
BardHall.CW.FP/TONS,2016-06-20 00:00:00,D,126.034959375,Chilled Water
BardHall.Elec.PowerScout3/kWsystem,2016-06-20 00:00:00,D,105.784375000,Electric
BardHall.STM.M22-V/AverageMassFlow,2016-06-20 00:00:00,D,295.455828125,Steam
BardHall.CW.FP/TONS,2016-06-21 00:00:00,D,115.151182291,Chilled Water
BardHall.Elec.PowerScout3/kWsystem,2016-06-21 00:00:00,D,109.256250000,Electric
BardHall.STM.M22-V/AverageMassFlow,2016-06-21 00:00:00,D,331.658303125,Steam
BardHall.CW.FP/TONS,2016-06-22 00:00:00,D,65.494716666,Chilled Water
BardHall.Elec.PowerScout3/kWsystem,2016-06-22 00:00:00,D,109.563541666,Electric
BardHall.STM.M22-V/AverageMassFlow,2016-06-22 00:00:00,D,357.648358333,Steam
BardHall.CW.FP/TONS,2016-06-23 00:00:00,D,60.713985416,Chilled Water
BardHall.Elec.PowerScout3/kWsystem,2016-06-23 00:00:00,D,109.830208333,Electric
BardHall.STM.M22-V/AverageMassFlow,2016-06-23 00:00:00,D,380.364502083,Steam
