name,slottime_GMT,slottype,slotavg,pointTitle
CarpenterHall.CW.FP/TONS,2016-06-02 00:00:00,D,22.092903645,Chilled Water
CarpenterHall.Elec.PowerScout3/kWsystem,2016-06-02 00:00:00,D,50.813541666,Electric
CarpenterHall.STM.M22-V/AverageMassFlow,2016-06-02 00:00:00,D,98.206225000,Steam
CarpenterHall.CW.FP/TONS,2016-06-03 00:00:00,D,22.668499687,Chilled Water
CarpenterHall.Elec.PowerScout3/kWsystem,2016-06-03 00:00:00,D,47.753125000,Electric
CarpenterHall.STM.M22-V/AverageMassFlow,2016-06-03 00:00:00,D,70.941224583,Steam
CarpenterHall.CW.FP/TONS,2016-06-04 00:00:00,D,11.988818020,Chilled Water
CarpenterHall.Elec.PowerScout3/kWsystem,2016-06-04 00:00:00,D,35.668750000,Electric
CarpenterHall.STM.M22-V/AverageMassFlow,2016-06-04 00:00:00,D,122.068988245,Steam
CarpenterHall.CW.FP/TONS,2016-06-05 00:00:00,D,14.732760208,Chilled Water
CarpenterHall.Elec.PowerScout3/kWsystem,2016-06-05 00:00:00,D,34.623958333,Electric
CarpenterHall.STM.M22-V/AverageMassFlow,2016-06-05 00:00:00,D,81.610628444,Steam
CarpenterHall.CW.FP/TONS,2016-06-06 00:00:00,D,18.922185416,Chilled Water
CarpenterHall.Elec.PowerScout3/kWsystem,2016-06-06 00:00:00,D,47.004166666,Electric
CarpenterHall.STM.M22-V/AverageMassFlow,2016-06-06 00:00:00,D,114.964801034,Steam
CarpenterHall.CW.FP/TONS,2016-06-07 00:00:00,D,14.627082083,Chilled Water
CarpenterHall.Elec.PowerScout3/kWsystem,2016-06-07 00:00:00,D,47.014583333,Electric
CarpenterHall.STM.M22-V/AverageMassFlow,2016-06-07 00:00:00,D,111.725184426,Steam
CarpenterHall.CW.FP/TONS,2016-06-08 00:00:00,D,5.139247812,Chilled Water
CarpenterHall.Elec.PowerScout3/kWsystem,2016-06-08 00:00:00,D,46.894791666,Electric
CarpenterHall.STM.M22-V/AverageMassFlow,2016-06-08 00:00:00,D,121.206182934,Steam
CarpenterHall.CW.FP/TONS,2016-06-09 00:00:00,D,7.824458750,Chilled Water
CarpenterHall.Elec.PowerScout3/kWsystem,2016-06-09 00:00:00,D,47.187500000,Electric
CarpenterHall.STM.M22-V/AverageMassFlow,2016-06-09 00:00:00,D,112.689591318,Steam
CarpenterHall.CW.FP/TONS,2016-06-10 00:00:00,D,11.357276145,Chilled Water
CarpenterHall.Elec.PowerScout3/kWsystem,2016-06-10 00:00:00,D,48.056250000,Electric
CarpenterHall.STM.M22-V/AverageMassFlow,2016-06-10 00:00:00,D,140.708450744,Steam
CarpenterHall.CW.FP/TONS,2016-06-11 00:00:00,D,9.071762500,Chilled Water
CarpenterHall.Elec.PowerScout3/kWsystem,2016-06-11 00:00:00,D,36.117708333,Electric
CarpenterHall.STM.M22-V/AverageMassFlow,2016-06-11 00:00:00,D,136.819094421,Steam
CarpenterHall.CW.FP/TONS,2016-06-12 00:00:00,D,8.117625208,Chilled Water
CarpenterHall.Elec.PowerScout3/kWsystem,2016-06-12 00:00:00,D,35.652083333,Electric
CarpenterHall.STM.M22-V/AverageMassFlow,2016-06-12 00:00:00,D,118.413346129,Steam
CarpenterHall.CW.FP/TONS,2016-06-13 00:00:00,D,7.706110526,Chilled Water
CarpenterHall.Elec.PowerScout3/kWsystem,2016-06-13 00:00:00,D,47.319791666,Electric
CarpenterHall.STM.M22-V/AverageMassFlow,2016-06-13 00:00:00,D,134.281802291,Steam
CarpenterHall.CW.FP/TONS,2016-06-14 00:00:00,D,11.472476979,Chilled Water
CarpenterHall.Elec.PowerScout3/kWsystem,2016-06-14 00:00:00,D,47.258333333,Electric
CarpenterHall.STM.M22-V/AverageMassFlow,2016-06-14 00:00:00,D,130.009231458,Steam
CarpenterHall.CW.FP/TONS,2016-06-15 00:00:00,D,16.677944062,Chilled Water
CarpenterHall.Elec.PowerScout3/kWsystem,2016-06-15 00:00:00,D,52.847916666,Electric
CarpenterHall.STM.M22-V/AverageMassFlow,2016-06-15 00:00:00,D,119.922505208,Steam
CarpenterHall.CW.FP/TONS,2016-06-16 00:00:00,D,22.788933437,Chilled Water
CarpenterHall.Elec.PowerScout3/kWsystem,2016-06-16 00:00:00,D,52.171875000,Electric
CarpenterHall.STM.M22-V/AverageMassFlow,2016-06-16 00:00:00,D,91.130484375,Steam
CarpenterHall.CW.FP/TONS,2016-06-17 00:00:00,D,20.509863750,Chilled Water
CarpenterHall.Elec.PowerScout3/kWsystem,2016-06-17 00:00:00,D,51.579166666,Electric
CarpenterHall.STM.M22-V/AverageMassFlow,2016-06-17 00:00:00,D,123.656741458,Steam
CarpenterHall.CW.FP/TONS,2016-06-18 00:00:00,D,11.824350833,Chilled Water
CarpenterHall.Elec.PowerScout3/kWsystem,2016-06-18 00:00:00,D,42.123958333,Electric
CarpenterHall.STM.M22-V/AverageMassFlow,2016-06-18 00:00:00,D,114.503253333,Steam
CarpenterHall.CW.FP/TONS,2016-06-19 00:00:00,D,11.872418085,Chilled Water
CarpenterHall.Elec.PowerScout3/kWsystem,2016-06-19 00:00:00,D,41.401063829,Electric
CarpenterHall.STM.M22-V/AverageMassFlow,2016-06-19 00:00:00,D,108.796584042,Steam
CarpenterHall.CW.FP/TONS,2016-06-20 00:00:00,D,27.054017500,Chilled Water
CarpenterHall.Elec.PowerScout3/kWsystem,2016-06-20 00:00:00,D,50.904166666,Electric
CarpenterHall.STM.M22-V/AverageMassFlow,2016-06-20 00:00:00,D,90.632320520,Steam
CarpenterHall.CW.FP/TONS,2016-06-21 00:00:00,D,24.270584375,Chilled Water
CarpenterHall.Elec.PowerScout3/kWsystem,2016-06-21 00:00:00,D,51.354166666,Electric
CarpenterHall.STM.M22-V/AverageMassFlow,2016-06-21 00:00:00,D,91.271995208,Steam
CarpenterHall.CW.FP/TONS,2016-06-22 00:00:00,D,21.596089791,Chilled Water
CarpenterHall.Elec.PowerScout3/kWsystem,2016-06-22 00:00:00,D,50.810416666,Electric
CarpenterHall.STM.M22-V/AverageMassFlow,2016-06-22 00:00:00,D,111.342595000,Steam
CarpenterHall.CW.FP/TONS,2016-06-23 00:00:00,D,19.647619375,Chilled Water
CarpenterHall.Elec.PowerScout3/kWsystem,2016-06-23 00:00:00,D,51.948958333,Electric
CarpenterHall.STM.M22-V/AverageMassFlow,2016-06-23 00:00:00,D,126.075966458,Steam
CarpenterHall.CW.FP/TONS,2016-06-24 00:00:00,D,18.278273263,Chilled Water
CarpenterHall.Elec.PowerScout3/kWsystem,2016-06-24 00:00:00,D,51.771578947,Electric
CarpenterHall.STM.M22-V/AverageMassFlow,2016-06-24 00:00:00,D,121.499926105,Steam
CarpenterHall.CW.FP/TONS,2016-06-25 00:00:00,D,13.325105104,Chilled Water
CarpenterHall.Elec.PowerScout3/kWsystem,2016-06-25 00:00:00,D,41.684375000,Electric
CarpenterHall.STM.M22-V/AverageMassFlow,2016-06-25 00:00:00,D,110.829200833,Steam
CarpenterHall.CW.FP/TONS,2016-06-26 00:00:00,D,14.821898958,Chilled Water
CarpenterHall.Elec.PowerScout3/kWsystem,2016-06-26 00:00:00,D,40.878125000,Electric
CarpenterHall.STM.M22-V/AverageMassFlow,2016-06-26 00:00:00,D,89.768273333,Steam
CarpenterHall.CW.FP/TONS,2016-06-27 00:00:00,D,27.779976041,Chilled Water
CarpenterHall.Elec.PowerScout3/kWsystem,2016-06-27 00:00:00,D,51.241666666,Electric
CarpenterHall.STM.M22-V/AverageMassFlow,2016-06-27 00:00:00,D,90.390360104,Steam
CarpenterHall.CW.FP/TONS,2016-06-28 00:00:00,D,28.714155208,Chilled Water
CarpenterHall.Elec.PowerScout3/kWsystem,2016-06-28 00:00:00,D,51.455208333,Electric
CarpenterHall.STM.M22-V/AverageMassFlow,2016-06-28 00:00:00,D,90.171721538,Steam
CarpenterHall.CW.FP/TONS,2016-06-29 00:00:00,D,22.104554166,Chilled Water
CarpenterHall.Elec.PowerScout3/kWsystem,2016-06-29 00:00:00,D,51.595833333,Electric
CarpenterHall.STM.M22-V/AverageMassFlow,2016-06-29 00:00:00,D,89.552017500,Steam
CarpenterHall.CW.FP/TONS,2016-06-30 00:00:00,D,20.623279166,Chilled Water
CarpenterHall.Elec.PowerScout3/kWsystem,2016-06-30 00:00:00,D,51.084375000,Electric
CarpenterHall.STM.M22-V/AverageMassFlow,2016-06-30 00:00:00,D,110.225750947,Steam
CarpenterHall.CW.FP/TONS,2016-07-01 00:00:00,D,22.688059479,Chilled Water
CarpenterHall.Elec.PowerScout3/kWsystem,2016-07-01 00:00:00,D,48.207291666,Electric
CarpenterHall.STM.M22-V/AverageMassFlow,2016-07-01 00:00:00,D,109.325475312,Steam
CarpenterHall.CW.FP/TONS,2016-07-02 00:00:00,D,11.234054166,Chilled Water
CarpenterHall.Elec.PowerScout3/kWsystem,2016-07-02 00:00:00,D,40.643750000,Electric
CarpenterHall.STM.M22-V/AverageMassFlow,2016-07-02 00:00:00,D,110.603548437,Steam
