name,slottime_GMT,slottype,slotavg,pointTitle
DuffieldHall.CW.FP/TONS,2016-06-02 00:00:00,D,375.361468750,Chilled Water
DuffieldHall.Elec.PowerScout3/kWsystem,2016-06-02 00:00:00,D,844.289583333,Electric
DuffieldHall.STM.M22-V/AverageMassFlow,2016-06-02 00:00:00,D,2262.631000000,Steam
DuffieldHall.CW.FP/TONS,2016-06-03 00:00:00,D,489.781593750,Chilled Water
DuffieldHall.Elec.PowerScout3/kWsystem,2016-06-03 00:00:00,D,863.643750000,Electric
DuffieldHall.STM.M22-V/AverageMassFlow,2016-06-03 00:00:00,D,2226.985456470,Steam
DuffieldHall.CW.FP/TONS,2016-06-04 00:00:00,D,397.989270833,Chilled Water
DuffieldHall.Elec.PowerScout3/kWsystem,2016-06-04 00:00:00,D,862.217708333,Electric
DuffieldHall.STM.M22-V/AverageMassFlow,2016-06-04 00:00:00,D,2026.198175641,Steam
DuffieldHall.CW.FP/TONS,2016-06-05 00:00:00,D,559.933583333,Chilled Water
DuffieldHall.Elec.PowerScout3/kWsystem,2016-06-05 00:00:00,D,878.316666666,Electric
DuffieldHall.STM.M22-V/AverageMassFlow,2016-06-05 00:00:00,D,2045.473917808,Steam
DuffieldHall.CW.FP/TONS,2016-06-06 00:00:00,D,388.361322916,Chilled Water
DuffieldHall.Elec.PowerScout3/kWsystem,2016-06-06 00:00:00,D,871.477083333,Electric
DuffieldHall.STM.M22-V/AverageMassFlow,2016-06-06 00:00:00,D,2057.741894920,Steam
DuffieldHall.CW.FP/TONS,2016-06-07 00:00:00,D,321.535989583,Chilled Water
DuffieldHall.Elec.PowerScout3/kWsystem,2016-06-07 00:00:00,D,846.151041666,Electric
DuffieldHall.STM.M22-V/AverageMassFlow,2016-06-07 00:00:00,D,2014.487912658,Steam
DuffieldHall.CW.FP/TONS,2016-06-08 00:00:00,D,165.821927083,Chilled Water
DuffieldHall.Elec.PowerScout3/kWsystem,2016-06-08 00:00:00,D,856.938541666,Electric
DuffieldHall.STM.M22-V/AverageMassFlow,2016-06-08 00:00:00,D,2033.655813043,Steam
DuffieldHall.CW.FP/TONS,2016-06-09 00:00:00,D,157.784812500,Chilled Water
DuffieldHall.Elec.PowerScout3/kWsystem,2016-06-09 00:00:00,D,841.754166666,Electric
DuffieldHall.STM.M22-V/AverageMassFlow,2016-06-09 00:00:00,D,2055.618267647,Steam
DuffieldHall.CW.FP/TONS,2016-06-10 00:00:00,D,187.098846875,Chilled Water
DuffieldHall.Elec.PowerScout3/kWsystem,2016-06-10 00:00:00,D,847.144791666,Electric
DuffieldHall.STM.M22-V/AverageMassFlow,2016-06-10 00:00:00,D,2079.102025806,Steam
DuffieldHall.CW.FP/TONS,2016-06-11 00:00:00,D,341.751520833,Chilled Water
DuffieldHall.Elec.PowerScout3/kWsystem,2016-06-11 00:00:00,D,846.303125000,Electric
DuffieldHall.STM.M22-V/AverageMassFlow,2016-06-11 00:00:00,D,1974.133782297,Steam
DuffieldHall.CW.FP/TONS,2016-06-12 00:00:00,D,352.734958333,Chilled Water
DuffieldHall.Elec.PowerScout3/kWsystem,2016-06-12 00:00:00,D,860.732291666,Electric
DuffieldHall.STM.M22-V/AverageMassFlow,2016-06-12 00:00:00,D,2095.693242253,Steam
DuffieldHall.CW.FP/TONS,2016-06-13 00:00:00,D,185.564757894,Chilled Water
DuffieldHall.Elec.PowerScout3/kWsystem,2016-06-13 00:00:00,D,849.660416666,Electric
DuffieldHall.STM.M22-V/AverageMassFlow,2016-06-13 00:00:00,D,2069.756939506,Steam
DuffieldHall.CW.FP/TONS,2016-06-14 00:00:00,D,199.266692708,Chilled Water
DuffieldHall.Elec.PowerScout3/kWsystem,2016-06-14 00:00:00,D,866.011458333,Electric
DuffieldHall.STM.M22-V/AverageMassFlow,2016-06-14 00:00:00,D,2074.195252112,Steam
DuffieldHall.CW.FP/TONS,2016-06-15 00:00:00,D,284.921593750,Chilled Water
DuffieldHall.Elec.PowerScout3/kWsystem,2016-06-15 00:00:00,D,872.535416666,Electric
DuffieldHall.STM.M22-V/AverageMassFlow,2016-06-15 00:00:00,D,2089.866660759,Steam
DuffieldHall.CW.FP/TONS,2016-06-16 00:00:00,D,459.791250000,Chilled Water
DuffieldHall.Elec.PowerScout3/kWsystem,2016-06-16 00:00:00,D,878.182291666,Electric
DuffieldHall.STM.M22-V/AverageMassFlow,2016-06-16 00:00:00,D,2063.557628783,Steam
DuffieldHall.CW.FP/TONS,2016-06-17 00:00:00,D,359.313427083,Chilled Water
DuffieldHall.Elec.PowerScout3/kWsystem,2016-06-17 00:00:00,D,864.411458333,Electric
DuffieldHall.STM.M22-V/AverageMassFlow,2016-06-17 00:00:00,D,1939.819290338,Steam
DuffieldHall.CW.FP/TONS,2016-06-18 00:00:00,D,318.193041666,Chilled Water
DuffieldHall.Elec.PowerScout3/kWsystem,2016-06-18 00:00:00,D,843.836458333,Electric
DuffieldHall.STM.M22-V/AverageMassFlow,2016-06-18 00:00:00,D,2127.267716666,Steam
DuffieldHall.CW.FP/TONS,2016-06-19 00:00:00,D,358.758178947,Chilled Water
DuffieldHall.Elec.PowerScout3/kWsystem,2016-06-19 00:00:00,D,848.011578947,Electric
DuffieldHall.STM.M22-V/AverageMassFlow,2016-06-19 00:00:00,D,2110.054916923,Steam
DuffieldHall.CW.FP/TONS,2016-06-20 00:00:00,D,498.500041666,Chilled Water
DuffieldHall.Elec.PowerScout3/kWsystem,2016-06-20 00:00:00,D,885.927083333,Electric
DuffieldHall.STM.M22-V/AverageMassFlow,2016-06-20 00:00:00,D,2110.155251060,Steam
DuffieldHall.CW.FP/TONS,2016-06-21 00:00:00,D,418.188875000,Chilled Water
DuffieldHall.Elec.PowerScout3/kWsystem,2016-06-21 00:00:00,D,884.530208333,Electric
DuffieldHall.STM.M22-V/AverageMassFlow,2016-06-21 00:00:00,D,2048.232556896,Steam
DuffieldHall.CW.FP/TONS,2016-06-22 00:00:00,D,308.695885416,Chilled Water
DuffieldHall.Elec.PowerScout3/kWsystem,2016-06-22 00:00:00,D,886.939583333,Electric
DuffieldHall.STM.M22-V/AverageMassFlow,2016-06-22 00:00:00,D,2082.609070821,Steam
DuffieldHall.CW.FP/TONS,2016-06-23 00:00:00,D,293.834718750,Chilled Water
DuffieldHall.Elec.PowerScout3/kWsystem,2016-06-23 00:00:00,D,878.021875000,Electric
DuffieldHall.STM.M22-V/AverageMassFlow,2016-06-23 00:00:00,D,2046.185442266,Steam
DuffieldHall.CW.FP/TONS,2016-06-24 00:00:00,D,273.460693684,Chilled Water
DuffieldHall.Elec.PowerScout3/kWsystem,2016-06-24 00:00:00,D,871.968421052,Electric
DuffieldHall.STM.M22-V/AverageMassFlow,2016-06-24 00:00:00,D,1965.015903676,Steam
DuffieldHall.CW.FP/TONS,2016-06-25 00:00:00,D,383.084854166,Chilled Water
DuffieldHall.Elec.PowerScout3/kWsystem,2016-06-25 00:00:00,D,853.895833333,Electric
DuffieldHall.STM.M22-V/AverageMassFlow,2016-06-25 00:00:00,D,2052.507567567,Steam
DuffieldHall.CW.FP/TONS,2016-06-26 00:00:00,D,498.163937500,Chilled Water
DuffieldHall.Elec.PowerScout3/kWsystem,2016-06-26 00:00:00,D,851.544791666,Electric
DuffieldHall.STM.M22-V/AverageMassFlow,2016-06-26 00:00:00,D,2105.592156716,Steam
DuffieldHall.CW.FP/TONS,2016-06-27 00:00:00,D,541.851687500,Chilled Water
DuffieldHall.Elec.PowerScout3/kWsystem,2016-06-27 00:00:00,D,879.192708333,Electric
