name,slottime_GMT,slottype,slotavg,pointTitle
HollisterHall.CW.FP/TONS,2016-06-02 00:00:00,D,45.432571875,Chilled Water
HollisterHall.Elec.PowerScout3/kWsystem,2016-06-02 00:00:00,D,149.081250000,Electric
HollisterHall.STM.M22-V/AverageMassFlow,2016-06-02 00:00:00,D,177.422800000,Steam
HollisterHall.CW.FP/TONS,2016-06-03 00:00:00,D,46.965693437,Chilled Water
HollisterHall.Elec.PowerScout3/kWsystem,2016-06-03 00:00:00,D,147.917708333,Electric
HollisterHall.STM.M22-V/AverageMassFlow,2016-06-03 00:00:00,D,360.988253125,Steam
HollisterHall.CW.FP/TONS,2016-06-04 00:00:00,D,35.308738541,Chilled Water
HollisterHall.Elec.PowerScout3/kWsystem,2016-06-04 00:00:00,D,125.655208333,Electric
HollisterHall.STM.M22-V/AverageMassFlow,2016-06-04 00:00:00,D,353.216145833,Steam
HollisterHall.CW.FP/TONS,2016-06-05 00:00:00,D,46.519009375,Chilled Water
HollisterHall.Elec.PowerScout3/kWsystem,2016-06-05 00:00:00,D,121.547916666,Electric
HollisterHall.STM.M22-V/AverageMassFlow,2016-06-05 00:00:00,D,297.566425000,Steam
HollisterHall.CW.FP/TONS,2016-06-06 00:00:00,D,41.204703125,Chilled Water
HollisterHall.Elec.PowerScout3/kWsystem,2016-06-06 00:00:00,D,136.770833333,Electric
HollisterHall.STM.M22-V/AverageMassFlow,2016-06-06 00:00:00,D,312.229140625,Steam
HollisterHall.CW.FP/TONS,2016-06-07 00:00:00,D,33.283781666,Chilled Water
HollisterHall.Elec.PowerScout3/kWsystem,2016-06-07 00:00:00,D,132.610416666,Electric
HollisterHall.STM.M22-V/AverageMassFlow,2016-06-07 00:00:00,D,289.837758333,Steam
HollisterHall.CW.FP/TONS,2016-06-08 00:00:00,D,20.689612708,Chilled Water
HollisterHall.Elec.PowerScout3/kWsystem,2016-06-08 00:00:00,D,131.380208333,Electric
HollisterHall.STM.M22-V/AverageMassFlow,2016-06-08 00:00:00,D,493.329534375,Steam
HollisterHall.CW.FP/TONS,2016-06-09 00:00:00,D,21.532664166,Chilled Water
HollisterHall.Elec.PowerScout3/kWsystem,2016-06-09 00:00:00,D,128.735416666,Electric
HollisterHall.STM.M22-V/AverageMassFlow,2016-06-09 00:00:00,D,442.094544791,Steam
HollisterHall.CW.FP/TONS,2016-06-10 00:00:00,D,24.844313333,Chilled Water
HollisterHall.Elec.PowerScout3/kWsystem,2016-06-10 00:00:00,D,128.080208333,Electric
HollisterHall.STM.M22-V/AverageMassFlow,2016-06-10 00:00:00,D,445.995598958,Steam
HollisterHall.CW.FP/TONS,2016-06-11 00:00:00,D,33.321071875,Chilled Water
HollisterHall.Elec.PowerScout3/kWsystem,2016-06-11 00:00:00,D,122.653125000,Electric
HollisterHall.STM.M22-V/AverageMassFlow,2016-06-11 00:00:00,D,428.482846875,Steam
HollisterHall.CW.FP/TONS,2016-06-12 00:00:00,D,36.205142708,Chilled Water
HollisterHall.Elec.PowerScout3/kWsystem,2016-06-12 00:00:00,D,116.446875000,Electric
HollisterHall.STM.M22-V/AverageMassFlow,2016-06-12 00:00:00,D,302.769554166,Steam
HollisterHall.CW.FP/TONS,2016-06-13 00:00:00,D,22.047407368,Chilled Water
HollisterHall.Elec.PowerScout3/kWsystem,2016-06-13 00:00:00,D,128.329166666,Electric
HollisterHall.STM.M22-V/AverageMassFlow,2016-06-13 00:00:00,D,491.292712500,Steam
HollisterHall.CW.FP/TONS,2016-06-14 00:00:00,D,23.935110416,Chilled Water
HollisterHall.Elec.PowerScout3/kWsystem,2016-06-14 00:00:00,D,127.836458333,Electric
HollisterHall.STM.M22-V/AverageMassFlow,2016-06-14 00:00:00,D,459.331292708,Steam
