name,slottime_GMT,slottype,slotavg,pointTitle
RhodesHall.7thfloor.NOC.CW.FP/TONS,2018-01-01 00:00:00,D,105.110208333,Network Operations Center Chilled Water
RhodesHall.CW.FP/TONS,2018-01-01 00:00:00,D,171.772937500,Chilled Water
RhodesHall.Elec.A.PowerScout3/kW_System,2018-01-01 00:00:00,D,126.360416666,Electric meter A
RhodesHall.Elec.B.PowerScout3/kW_System,2018-01-01 00:00:00,D,573.257291666,Electric meter B
RhodesHall.Elec.CITloads.PowerScout3/kW_System,2018-01-01 00:00:00,D,248.084375000,CIT Electric loads
RhodesHall.STM.M22-V/AverageMassFlow,2018-01-01 00:00:00,D,2412.140312500,Steam
RhodesHall.7thfloor.NOC.CW.FP/TONS,2018-01-02 00:00:00,D,106.609991666,Network Operations Center Chilled Water
RhodesHall.CW.FP/TONS,2018-01-02 00:00:00,D,173.722552083,Chilled Water
RhodesHall.Elec.A.PowerScout3/kW_System,2018-01-02 00:00:00,D,137.097916666,Electric meter A
RhodesHall.Elec.B.PowerScout3/kW_System,2018-01-02 00:00:00,D,581.414583333,Electric meter B
RhodesHall.Elec.CITloads.PowerScout3/kW_System,2018-01-02 00:00:00,D,248.243750000,CIT Electric loads
RhodesHall.STM.M22-V/AverageMassFlow,2018-01-02 00:00:00,D,2061.819770833,Steam
RhodesHall.7thfloor.NOC.CW.FP/TONS,2018-01-03 00:00:00,D,108.327052083,Network Operations Center Chilled Water
RhodesHall.CW.FP/TONS,2018-01-03 00:00:00,D,176.348395833,Chilled Water
RhodesHall.Elec.A.PowerScout3/kW_System,2018-01-03 00:00:00,D,142.008333333,Electric meter A
RhodesHall.Elec.B.PowerScout3/kW_System,2018-01-03 00:00:00,D,589.337500000,Electric meter B
RhodesHall.Elec.CITloads.PowerScout3/kW_System,2018-01-03 00:00:00,D,248.577083333,CIT Electric loads
RhodesHall.STM.M22-V/AverageMassFlow,2018-01-03 00:00:00,D,1986.790843750,Steam
RhodesHall.7thfloor.NOC.CW.FP/TONS,2018-01-04 00:00:00,D,107.137327083,Network Operations Center Chilled Water
RhodesHall.CW.FP/TONS,2018-01-04 00:00:00,D,177.830489583,Chilled Water
RhodesHall.Elec.A.PowerScout3/kW_System,2018-01-04 00:00:00,D,139.121875000,Electric meter A
RhodesHall.Elec.B.PowerScout3/kW_System,2018-01-04 00:00:00,D,580.010416666,Electric meter B
RhodesHall.Elec.CITloads.PowerScout3/kW_System,2018-01-04 00:00:00,D,248.551041666,CIT Electric loads
RhodesHall.STM.M22-V/AverageMassFlow,2018-01-04 00:00:00,D,1811.411593750,Steam
RhodesHall.7thfloor.NOC.CW.FP/TONS,2018-01-05 00:00:00,D,106.232353125,Network Operations Center Chilled Water
RhodesHall.CW.FP/TONS,2018-01-05 00:00:00,D,175.314583333,Chilled Water
