name,slottime_GMT,slottype,slotavg,pointTitle
SageHall.CW.FP/TONS,2018-01-01 00:00:00,D,12.534865000,Chilled Water
SageHall.Elec.PowerScout3/kWsystem,2018-01-01 00:00:00,D,150.798958333,Electric
SageHall.STM.M22-V/AverageMassFlow,2018-01-01 00:00:00,D,942.362375000,Steam
SageHall.CW.FP/TONS,2018-01-02 00:00:00,D,14.008682666,Chilled Water
SageHall.Elec.PowerScout3/kWsystem,2018-01-02 00:00:00,D,171.753125000,Electric
SageHall.STM.M22-V/AverageMassFlow,2018-01-02 00:00:00,D,857.131656250,Steam
SageHall.CW.FP/TONS,2018-01-03 00:00:00,D,13.287141818,Chilled Water
SageHall.Elec.PowerScout3/kWsystem,2018-01-03 00:00:00,D,178.076041666,Electric
SageHall.STM.M22-V/AverageMassFlow,2018-01-03 00:00:00,D,811.270734375,Steam
SageHall.CW.FP/TONS,2018-01-04 00:00:00,D,14.574721935,Chilled Water
SageHall.Elec.PowerScout3/kWsystem,2018-01-04 00:00:00,D,177.872916666,Electric
SageHall.STM.M22-V/AverageMassFlow,2018-01-04 00:00:00,D,747.648469791,Steam
SageHall.CW.FP/TONS,2018-01-05 00:00:00,D,15.058550952,Chilled Water
SageHall.Elec.PowerScout3/kWsystem,2018-01-05 00:00:00,D,175.903125000,Electric
SageHall.STM.M22-V/AverageMassFlow,2018-01-05 00:00:00,D,1010.129215625,Steam
SageHall.CW.FP/TONS,2018-01-06 00:00:00,D,14.650935636,Chilled Water
SageHall.Elec.PowerScout3/kWsystem,2018-01-06 00:00:00,D,161.490625000,Electric
SageHall.STM.M22-V/AverageMassFlow,2018-01-06 00:00:00,D,1086.144925000,Steam
SageHall.CW.FP/TONS,2018-01-07 00:00:00,D,13.840125762,Chilled Water
SageHall.Elec.PowerScout3/kWsystem,2018-01-07 00:00:00,D,158.025263157,Electric
SageHall.STM.M22-V/AverageMassFlow,2018-01-07 00:00:00,D,946.750283157,Steam
SageHall.CW.FP/TONS,2018-01-08 00:00:00,D,14.121336190,Chilled Water
SageHall.Elec.PowerScout3/kWsystem,2018-01-08 00:00:00,D,186.031250000,Electric
SageHall.STM.M22-V/AverageMassFlow,2018-01-08 00:00:00,D,750.100598958,Steam
SageHall.CW.FP/TONS,2018-01-09 00:00:00,D,12.497035000,Chilled Water
SageHall.Elec.PowerScout3/kWsystem,2018-01-09 00:00:00,D,183.733333333,Electric
SageHall.STM.M22-V/AverageMassFlow,2018-01-09 00:00:00,D,580.371043750,Steam
SageHall.CW.FP/TONS,2018-01-10 00:00:00,D,13.844261944,Chilled Water
