name,slottime_GMT,slottype,slotavg,pointTitle
SneeHall.Elec.PowerScout3/kWsystem,2018-01-01 00:00:00,D,105.844791666,Electric
SneeHall.Elec.Solar.PowerScout3037/kW_System,2018-01-01 00:00:00,D,0.082291666,Photovoltaic Power Production
SneeHall.STM.M22-V/AverageMassFlow,2018-01-01 00:00:00,D,1210.598048958,Steam
SneeHall.Elec.PowerScout3/kWsystem,2018-01-02 00:00:00,D,113.702083333,Electric
SneeHall.Elec.Solar.PowerScout3037/kW_System,2018-01-02 00:00:00,D,0.070833333,Photovoltaic Power Production
SneeHall.STM.M22-V/AverageMassFlow,2018-01-02 00:00:00,D,1141.807144791,Steam
SneeHall.Elec.PowerScout3/kWsystem,2018-01-03 00:00:00,D,116.492708333,Electric
SneeHall.Elec.Solar.PowerScout3037/kW_System,2018-01-03 00:00:00,D,0.314583333,Photovoltaic Power Production
SneeHall.STM.M22-V/AverageMassFlow,2018-01-03 00:00:00,D,1068.501689583,Steam
SneeHall.Elec.PowerScout3/kWsystem,2018-01-04 00:00:00,D,116.177083333,Electric
SneeHall.Elec.Solar.PowerScout3037/kW_System,2018-01-04 00:00:00,D,0.033333333,Photovoltaic Power Production
SneeHall.STM.M22-V/AverageMassFlow,2018-01-04 00:00:00,D,1018.233389583,Steam
SneeHall.Elec.PowerScout3/kWsystem,2018-01-05 00:00:00,D,116.761458333,Electric
SneeHall.Elec.Solar.PowerScout3037/kW_System,2018-01-05 00:00:00,D,0.207291666,Photovoltaic Power Production
SneeHall.STM.M22-V/AverageMassFlow,2018-01-05 00:00:00,D,1298.652750000,Steam
SneeHall.Elec.PowerScout3/kWsystem,2018-01-06 00:00:00,D,110.512500000,Electric
SneeHall.Elec.Solar.PowerScout3037/kW_System,2018-01-06 00:00:00,D,0.467708333,Photovoltaic Power Production
SneeHall.STM.M22-V/AverageMassFlow,2018-01-06 00:00:00,D,1345.004041666,Steam
SneeHall.Elec.PowerScout3/kWsystem,2018-01-07 00:00:00,D,109.641052631,Electric
SneeHall.Elec.Solar.PowerScout3037/kW_System,2018-01-07 00:00:00,D,0.644210526,Photovoltaic Power Production
SneeHall.STM.M22-V/AverageMassFlow,2018-01-07 00:00:00,D,1234.328320000,Steam
SneeHall.Elec.PowerScout3/kWsystem,2018-01-08 00:00:00,D,118.334375000,Electric
SneeHall.Elec.Solar.PowerScout3037/kW_System,2018-01-08 00:00:00,D,0.066666666,Photovoltaic Power Production
SneeHall.STM.M22-V/AverageMassFlow,2018-01-08 00:00:00,D,897.187270833,Steam
SneeHall.Elec.PowerScout3/kWsystem,2018-01-09 00:00:00,D,117.396875000,Electric
SneeHall.Elec.Solar.PowerScout3037/kW_System,2018-01-09 00:00:00,D,0.052083333,Photovoltaic Power Production
SneeHall.STM.M22-V/AverageMassFlow,2018-01-09 00:00:00,D,692.312026041,Steam
SneeHall.Elec.PowerScout3/kWsystem,2018-01-10 00:00:00,D,118.436458333,Electric
SneeHall.Elec.Solar.PowerScout3037/kW_System,2018-01-10 00:00:00,D,0.641666666,Photovoltaic Power Production
SneeHall.STM.M22-V/AverageMassFlow,2018-01-10 00:00:00,D,674.756875000,Steam
SneeHall.CW.FP/TONS,2018-01-11 00:00:00,D,7.906549615,Chilled Water
SneeHall.Elec.PowerScout3/kWsystem,2018-01-11 00:00:00,D,116.123958333,Electric
SneeHall.Elec.Solar.PowerScout3037/kW_System,2018-01-11 00:00:00,D,0.244791666,Photovoltaic Power Production
SneeHall.STM.M22-V/AverageMassFlow,2018-01-11 00:00:00,D,418.517944166,Steam
SneeHall.CW.FP/TONS,2018-01-12 00:00:00,D,18.897386588,Chilled Water
SneeHall.Elec.PowerScout3/kWsystem,2018-01-12 00:00:00,D,115.128125000,Electric
SneeHall.Elec.Solar.PowerScout3037/kW_System,2018-01-12 00:00:00,D,0.077083333,Photovoltaic Power Production
SneeHall.STM.M22-V/AverageMassFlow,2018-01-12 00:00:00,D,250.380978958,Steam
SneeHall.Elec.PowerScout3/kWsystem,2018-01-13 00:00:00,D,109.373958333,Electric
SneeHall.Elec.Solar.PowerScout3037/kW_System,2018-01-13 00:00:00,D,0.187500000,Photovoltaic Power Production
SneeHall.STM.M22-V/AverageMassFlow,2018-01-13 00:00:00,D,994.897570833,Steam
SneeHall.Elec.PowerScout3/kWsystem,2018-01-14 00:00:00,D,109.715625000,Electric
SneeHall.Elec.Solar.PowerScout3037/kW_System,2018-01-14 00:00:00,D,0.313541666,Photovoltaic Power Production
SneeHall.STM.M22-V/AverageMassFlow,2018-01-14 00:00:00,D,1154.929984375,Steam
SneeHall.Elec.PowerScout3/kWsystem,2018-01-15 00:00:00,D,117.673958333,Electric
SneeHall.Elec.Solar.PowerScout3037/kW_System,2018-01-15 00:00:00,D,0.208333333,Photovoltaic Power Production
SneeHall.STM.M22-V/AverageMassFlow,2018-01-15 00:00:00,D,1226.589364583,Steam
SneeHall.Elec.PowerScout3/kWsystem,2018-01-16 00:00:00,D,120.167708333,Electric
SneeHall.Elec.Solar.PowerScout3037/kW_System,2018-01-16 00:00:00,D,0.046875000,Photovoltaic Power Production
SneeHall.STM.M22-V/AverageMassFlow,2018-01-16 00:00:00,D,895.330343750,Steam
SneeHall.Elec.PowerScout3/kWsystem,2018-01-17 00:00:00,D,120.412500000,Electric
SneeHall.Elec.Solar.PowerScout3037/kW_System,2018-01-17 00:00:00,D,0.128125000,Photovoltaic Power Production
SneeHall.STM.M22-V/AverageMassFlow,2018-01-17 00:00:00,D,912.583039583,Steam
SneeHall.Elec.PowerScout3/kWsystem,2018-01-18 00:00:00,D,119.477083333,Electric
SneeHall.Elec.Solar.PowerScout3037/kW_System,2018-01-18 00:00:00,D,0.483333333,Photovoltaic Power Production
SneeHall.STM.M22-V/AverageMassFlow,2018-01-18 00:00:00,D,1044.562959375,Steam
SneeHall.Elec.PowerScout3/kWsystem,2018-01-19 00:00:00,D,117.300000000,Electric
SneeHall.Elec.Solar.PowerScout3037/kW_System,2018-01-19 00:00:00,D,0.644791666,Photovoltaic Power Production
SneeHall.STM.M22-V/AverageMassFlow,2018-01-19 00:00:00,D,882.529647368,Steam
SneeHall.Elec.PowerScout3/kWsystem,2018-01-20 00:00:00,D,102.919791666,Electric
SneeHall.Elec.Solar.PowerScout3037/kW_System,2018-01-20 00:00:00,D,0.672916666,Photovoltaic Power Production
SneeHall.STM.M22-V/AverageMassFlow,2018-01-20 00:00:00,D,517.515803125,Steam
SneeHall.Elec.PowerScout3/kWsystem,2018-01-21 00:00:00,D,101.731250000,Electric
SneeHall.Elec.Solar.PowerScout3037/kW_System,2018-01-21 00:00:00,D,0.302083333,Photovoltaic Power Production
SneeHall.STM.M22-V/AverageMassFlow,2018-01-21 00:00:00,D,601.144828125,Steam
SneeHall.Elec.PowerScout3/kWsystem,2018-01-22 00:00:00,D,112.933333333,Electric
SneeHall.Elec.Solar.PowerScout3037/kW_System,2018-01-22 00:00:00,D,0.068750000,Photovoltaic Power Production
SneeHall.STM.M22-V/AverageMassFlow,2018-01-22 00:00:00,D,492.733382291,Steam
SneeHall.Elec.PowerScout3/kWsystem,2018-01-23 00:00:00,D,113.209375000,Electric
SneeHall.Elec.Solar.PowerScout3037/kW_System,2018-01-23 00:00:00,D,0.289583333,Photovoltaic Power Production
SneeHall.STM.M22-V/AverageMassFlow,2018-01-23 00:00:00,D,398.872216666,Steam
SneeHall.Elec.PowerScout3/kWsystem,2018-01-24 00:00:00,D,118.990625000,Electric
SneeHall.Elec.Solar.PowerScout3037/kW_System,2018-01-24 00:00:00,D,0.187500000,Photovoltaic Power Production
SneeHall.STM.M22-V/AverageMassFlow,2018-01-24 00:00:00,D,716.137848958,Steam
SneeHall.Elec.PowerScout3/kWsystem,2018-01-25 00:00:00,D,119.005208333,Electric
SneeHall.Elec.Solar.PowerScout3037/kW_System,2018-01-25 00:00:00,D,0.689583333,Photovoltaic Power Production
SneeHall.STM.M22-V/AverageMassFlow,2018-01-25 00:00:00,D,878.153864583,Steam
SneeHall.Elec.PowerScout3/kWsystem,2018-01-26 00:00:00,D,118.148958333,Electric
SneeHall.Elec.Solar.PowerScout3037/kW_System,2018-01-26 00:00:00,D,0.706250000,Photovoltaic Power Production
SneeHall.STM.M22-V/AverageMassFlow,2018-01-26 00:00:00,D,763.528237500,Steam
SneeHall.CW.FP/TONS,2018-01-27 00:00:00,D,8.110590555,Chilled Water
SneeHall.Elec.PowerScout3/kWsystem,2018-01-27 00:00:00,D,107.393750000,Electric
SneeHall.Elec.Solar.PowerScout3037/kW_System,2018-01-27 00:00:00,D,0.211458333,Photovoltaic Power Production
SneeHall.STM.M22-V/AverageMassFlow,2018-01-27 00:00:00,D,525.659715625,Steam
SneeHall.Elec.PowerScout3/kWsystem,2018-01-28 00:00:00,D,105.756250000,Electric
SneeHall.Elec.Solar.PowerScout3037/kW_System,2018-01-28 00:00:00,D,0.640625000,Photovoltaic Power Production
SneeHall.STM.M22-V/AverageMassFlow,2018-01-28 00:00:00,D,434.442164583,Steam
SneeHall.Elec.PowerScout3/kWsystem,2018-01-29 00:00:00,D,115.478125000,Electric
SneeHall.Elec.Solar.PowerScout3037/kW_System,2018-01-29 00:00:00,D,0.467708333,Photovoltaic Power Production
SneeHall.STM.M22-V/AverageMassFlow,2018-01-29 00:00:00,D,595.607150526,Steam
SneeHall.Elec.PowerScout3/kWsystem,2018-01-30 00:00:00,D,118.476041666,Electric
SneeHall.Elec.Solar.PowerScout3037/kW_System,2018-01-30 00:00:00,D,0.190625000,Photovoltaic Power Production
SneeHall.STM.M22-V/AverageMassFlow,2018-01-30 00:00:00,D,818.340739583,Steam
SneeHall.Elec.PowerScout3/kWsystem,2018-01-31 00:00:00,D,120.032291666,Electric
SneeHall.Elec.Solar.PowerScout3037/kW_System,2018-01-31 00:00:00,D,0.336458333,Photovoltaic Power Production
SneeHall.STM.M22-V/AverageMassFlow,2018-01-31 00:00:00,D,1009.451251041,Steam
SneeHall.Elec.PowerScout3/kWsystem,2018-02-01 00:00:00,D,119.885416666,Electric
SneeHall.Elec.Solar.PowerScout3037/kW_System,2018-02-01 00:00:00,D,0.338541666,Photovoltaic Power Production
SneeHall.STM.M22-V/AverageMassFlow,2018-02-01 00:00:00,D,642.718903125,Steam
SneeHall.Elec.PowerScout3/kWsystem,2018-02-02 00:00:00,D,118.776041666,Electric
SneeHall.Elec.Solar.PowerScout3037/kW_System,2018-02-02 00:00:00,D,0.376041666,Photovoltaic Power Production
SneeHall.STM.M22-V/AverageMassFlow,2018-02-02 00:00:00,D,915.388595833,Steam
SneeHall.Elec.PowerScout3/kWsystem,2018-02-03 00:00:00,D,108.632291666,Electric
SneeHall.Elec.Solar.PowerScout3037/kW_System,2018-02-03 00:00:00,D,0.529166666,Photovoltaic Power Production
SneeHall.STM.M22-V/AverageMassFlow,2018-02-03 00:00:00,D,1038.410739583,Steam
SneeHall.Elec.PowerScout3/kWsystem,2018-02-04 00:00:00,D,107.825000000,Electric
SneeHall.Elec.Solar.PowerScout3037/kW_System,2018-02-04 00:00:00,D,0.073958333,Photovoltaic Power Production
SneeHall.STM.M22-V/AverageMassFlow,2018-02-04 00:00:00,D,766.211816666,Steam
SneeHall.Elec.PowerScout3/kWsystem,2018-02-05 00:00:00,D,116.983333333,Electric
SneeHall.Elec.Solar.PowerScout3037/kW_System,2018-02-05 00:00:00,D,0.419791666,Photovoltaic Power Production
SneeHall.STM.M22-V/AverageMassFlow,2018-02-05 00:00:00,D,836.322985416,Steam
SneeHall.Elec.PowerScout3/kWsystem,2018-02-06 00:00:00,D,119.278125000,Electric
SneeHall.Elec.Solar.PowerScout3037/kW_System,2018-02-06 00:00:00,D,0.295833333,Photovoltaic Power Production
SneeHall.STM.M22-V/AverageMassFlow,2018-02-06 00:00:00,D,892.363170833,Steam
SneeHall.Elec.PowerScout3/kWsystem,2018-02-07 00:00:00,D,116.364583333,Electric
SneeHall.Elec.Solar.PowerScout3037/kW_System,2018-02-07 00:00:00,D,0.005208333,Photovoltaic Power Production
SneeHall.STM.M22-V/AverageMassFlow,2018-02-07 00:00:00,D,906.316907291,Steam
SneeHall.Elec.PowerScout3/kWsystem,2018-02-08 00:00:00,D,117.327083333,Electric
SneeHall.Elec.Solar.PowerScout3037/kW_System,2018-02-08 00:00:00,D,0.336458333,Photovoltaic Power Production
SneeHall.STM.M22-V/AverageMassFlow,2018-02-08 00:00:00,D,901.247571875,Steam
SneeHall.Elec.PowerScout3/kWsystem,2018-02-09 00:00:00,D,117.795833333,Electric
