name,slottime_GMT,slottype,slotavg,pointTitle
WillardStraightHall.CW.FP/TONS,2016-06-02 00:00:00,D,32.019980208,Chilled Water
WillardStraightHall.Elec.PowerScout3/kWsystem,2016-06-02 00:00:00,D,93.216666666,Electric
WillardStraightHall.STM.M22-V/AverageMassFlow,2016-06-02 00:00:00,D,95.866220000,Steam
WillardStraightHall.CW.FP/TONS,2016-06-03 00:00:00,D,35.446851354,Chilled Water
WillardStraightHall.Elec.PowerScout3/kWsystem,2016-06-03 00:00:00,D,97.994791666,Electric
WillardStraightHall.STM.M22-V/AverageMassFlow,2016-06-03 00:00:00,D,127.455814631,Steam
WillardStraightHall.CW.FP/TONS,2016-06-04 00:00:00,D,34.283069166,Chilled Water
WillardStraightHall.Elec.PowerScout3/kWsystem,2016-06-04 00:00:00,D,85.117708333,Electric
WillardStraightHall.STM.M22-V/AverageMassFlow,2016-06-04 00:00:00,D,230.940731458,Steam
WillardStraightHall.CW.FP/TONS,2016-06-05 00:00:00,D,38.848224583,Chilled Water
WillardStraightHall.Elec.PowerScout3/kWsystem,2016-06-05 00:00:00,D,83.531250000,Electric
WillardStraightHall.STM.M22-V/AverageMassFlow,2016-06-05 00:00:00,D,127.547090312,Steam
WillardStraightHall.CW.FP/TONS,2016-06-06 00:00:00,D,33.106379166,Chilled Water
WillardStraightHall.Elec.PowerScout3/kWsystem,2016-06-06 00:00:00,D,97.523958333,Electric
WillardStraightHall.STM.M22-V/AverageMassFlow,2016-06-06 00:00:00,D,230.784202291,Steam
WillardStraightHall.CW.FP/TONS,2016-06-07 00:00:00,D,30.073938854,Chilled Water
WillardStraightHall.Elec.PowerScout3/kWsystem,2016-06-07 00:00:00,D,94.814583333,Electric
WillardStraightHall.STM.M22-V/AverageMassFlow,2016-06-07 00:00:00,D,195.177373750,Steam
WillardStraightHall.CW.FP/TONS,2016-06-08 00:00:00,D,26.367714583,Chilled Water
WillardStraightHall.Elec.PowerScout3/kWsystem,2016-06-08 00:00:00,D,98.422916666,Electric
WillardStraightHall.STM.M22-V/AverageMassFlow,2016-06-08 00:00:00,D,654.741141354,Steam
WillardStraightHall.CW.FP/TONS,2016-06-09 00:00:00,D,27.877788437,Chilled Water
WillardStraightHall.Elec.PowerScout3/kWsystem,2016-06-09 00:00:00,D,99.897916666,Electric
WillardStraightHall.STM.M22-V/AverageMassFlow,2016-06-09 00:00:00,D,600.407694166,Steam
WillardStraightHall.CW.FP/TONS,2016-06-10 00:00:00,D,29.692306041,Chilled Water
WillardStraightHall.Elec.PowerScout3/kWsystem,2016-06-10 00:00:00,D,97.886458333,Electric
WillardStraightHall.STM.M22-V/AverageMassFlow,2016-06-10 00:00:00,D,510.688357395,Steam
WillardStraightHall.CW.FP/TONS,2016-06-11 00:00:00,D,41.318161458,Chilled Water
WillardStraightHall.Elec.PowerScout3/kWsystem,2016-06-11 00:00:00,D,100.612500000,Electric
WillardStraightHall.STM.M22-V/AverageMassFlow,2016-06-11 00:00:00,D,451.653632395,Steam
WillardStraightHall.CW.FP/TONS,2016-06-12 00:00:00,D,34.826580208,Chilled Water
WillardStraightHall.Elec.PowerScout3/kWsystem,2016-06-12 00:00:00,D,96.557291666,Electric
WillardStraightHall.STM.M22-V/AverageMassFlow,2016-06-12 00:00:00,D,200.366207604,Steam
WillardStraightHall.CW.FP/TONS,2016-06-13 00:00:00,D,30.048743578,Chilled Water
WillardStraightHall.Elec.PowerScout3/kWsystem,2016-06-13 00:00:00,D,97.863541666,Electric
WillardStraightHall.STM.M22-V/AverageMassFlow,2016-06-13 00:00:00,D,650.738771979,Steam
WillardStraightHall.CW.FP/TONS,2016-06-14 00:00:00,D,32.424313437,Chilled Water
WillardStraightHall.Elec.PowerScout3/kWsystem,2016-06-14 00:00:00,D,100.546875000,Electric
WillardStraightHall.STM.M22-V/AverageMassFlow,2016-06-14 00:00:00,D,505.344771354,Steam
WillardStraightHall.CW.FP/TONS,2016-06-15 00:00:00,D,34.325803333,Chilled Water
WillardStraightHall.Elec.PowerScout3/kWsystem,2016-06-15 00:00:00,D,100.608333333,Electric
WillardStraightHall.STM.M22-V/AverageMassFlow,2016-06-15 00:00:00,D,410.267172083,Steam
WillardStraightHall.CW.FP/TONS,2016-06-16 00:00:00,D,39.030272916,Chilled Water
WillardStraightHall.Elec.PowerScout3/kWsystem,2016-06-16 00:00:00,D,93.619791666,Electric
WillardStraightHall.STM.M22-V/AverageMassFlow,2016-06-16 00:00:00,D,113.716918229,Steam
WillardStraightHall.CW.FP/TONS,2016-06-17 00:00:00,D,36.577076875,Chilled Water
WillardStraightHall.Elec.PowerScout3/kWsystem,2016-06-17 00:00:00,D,96.322916666,Electric
WillardStraightHall.STM.M22-V/AverageMassFlow,2016-06-17 00:00:00,D,248.842450937,Steam
WillardStraightHall.CW.FP/TONS,2016-06-18 00:00:00,D,37.020902604,Chilled Water
WillardStraightHall.Elec.PowerScout3/kWsystem,2016-06-18 00:00:00,D,90.304166666,Electric
WillardStraightHall.STM.M22-V/AverageMassFlow,2016-06-18 00:00:00,D,287.038345833,Steam
WillardStraightHall.CW.FP/TONS,2016-06-19 00:00:00,D,41.425234516,Chilled Water
WillardStraightHall.Elec.PowerScout3/kWsystem,2016-06-19 00:00:00,D,91.140860215,Electric
WillardStraightHall.STM.M22-V/AverageMassFlow,2016-06-19 00:00:00,D,266.112740319,Steam
WillardStraightHall.CW.FP/TONS,2016-06-20 00:00:00,D,45.968808958,Chilled Water
WillardStraightHall.Elec.PowerScout3/kWsystem,2016-06-20 00:00:00,D,93.504166666,Electric
WillardStraightHall.STM.M22-V/AverageMassFlow,2016-06-20 00:00:00,D,132.026282083,Steam
WillardStraightHall.CW.FP/TONS,2016-06-21 00:00:00,D,42.550626041,Chilled Water
WillardStraightHall.Elec.PowerScout3/kWsystem,2016-06-21 00:00:00,D,95.059375000,Electric
WillardStraightHall.STM.M22-V/AverageMassFlow,2016-06-21 00:00:00,D,118.339978020,Steam
WillardStraightHall.CW.FP/TONS,2016-06-22 00:00:00,D,37.262996458,Chilled Water
WillardStraightHall.Elec.PowerScout3/kWsystem,2016-06-22 00:00:00,D,92.107291666,Electric
WillardStraightHall.STM.M22-V/AverageMassFlow,2016-06-22 00:00:00,D,291.172003333,Steam
WillardStraightHall.CW.FP/TONS,2016-06-23 00:00:00,D,35.886648229,Chilled Water
WillardStraightHall.Elec.PowerScout3/kWsystem,2016-06-23 00:00:00,D,91.921875000,Electric
WillardStraightHall.STM.M22-V/AverageMassFlow,2016-06-23 00:00:00,D,356.850540937,Steam
WillardStraightHall.CW.FP/TONS,2016-06-24 00:00:00,D,37.675253789,Chilled Water
WillardStraightHall.Elec.PowerScout3/kWsystem,2016-06-24 00:00:00,D,91.614736842,Electric
WillardStraightHall.STM.M22-V/AverageMassFlow,2016-06-24 00:00:00,D,411.294027157,Steam
WillardStraightHall.CW.FP/TONS,2016-06-25 00:00:00,D,40.351527083,Chilled Water
WillardStraightHall.Elec.PowerScout3/kWsystem,2016-06-25 00:00:00,D,84.440625000,Electric
WillardStraightHall.STM.M22-V/AverageMassFlow,2016-06-25 00:00:00,D,284.476283645,Steam
WillardStraightHall.CW.FP/TONS,2016-06-26 00:00:00,D,46.556223437,Chilled Water
WillardStraightHall.Elec.PowerScout3/kWsystem,2016-06-26 00:00:00,D,80.316666666,Electric
WillardStraightHall.STM.M22-V/AverageMassFlow,2016-06-26 00:00:00,D,128.148944166,Steam
WillardStraightHall.CW.FP/TONS,2016-06-27 00:00:00,D,50.294312500,Chilled Water
WillardStraightHall.Elec.PowerScout3/kWsystem,2016-06-27 00:00:00,D,94.651041666,Electric
WillardStraightHall.STM.M22-V/AverageMassFlow,2016-06-27 00:00:00,D,122.549874270,Steam
WillardStraightHall.CW.FP/TONS,2016-06-28 00:00:00,D,53.635089062,Chilled Water
WillardStraightHall.Elec.PowerScout3/kWsystem,2016-06-28 00:00:00,D,93.072916666,Electric
WillardStraightHall.STM.M22-V/AverageMassFlow,2016-06-28 00:00:00,D,118.731441562,Steam
WillardStraightHall.CW.FP/TONS,2016-06-29 00:00:00,D,39.258064583,Chilled Water
WillardStraightHall.Elec.PowerScout3/kWsystem,2016-06-29 00:00:00,D,88.347916666,Electric
WillardStraightHall.STM.M22-V/AverageMassFlow,2016-06-29 00:00:00,D,157.724427395,Steam
WillardStraightHall.CW.FP/TONS,2016-06-30 00:00:00,D,37.210594791,Chilled Water
